# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠏⠷⠭⠾⠀⠨⠅⠀⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠭⠾⠡⠛⠷⠭⠾⠸⠲ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mrow><mi>f</mi><mo>-</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>-</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>.</mo></mrow></math>
✗ | ⠠⠏⠷⠭⠾⠀⠨⠅⠀⠨⠷⠋⠷⠭⠾⠠⠀⠭⠀⠐⠅⠀⠁⠀⣍⠛⠷⠭⠾⠠⠀⠭⠀⠨⠂⠱⠀⠁⠀⠐⠅⠍⠕⠀⠙⠁⠞⠁⠤⠍⠚⠭⠤⠞⠑⠭⠉⠇⠁⠎⠎⠨⠅⠄⠄⠠⠉⠠⠇⠠⠕⠠⠎⠠⠑⠄⠄⠀⠋⠑⠝⠉⠑⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠞⠗⠑⠞⠉⠓⠽⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠨⠅⠄⠄⠞⠗⠥⠑⠄⠄⠸⠌⠨⠂ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></mtd></mtr><mtr><mtd><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mi>a</mi></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mrow><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mi>a</mi><mo>≤</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>≥</mo><mrow><mi>a</mi><mo>=</mo><mtext>data-mjx-texclass</mtext><mo>=</mo><mtext>CLOSE</mtext><mtext>fence</mtext><mo>=</mo><mtext>true</mtext><mtext>stretchy</mtext><mo>=</mo><mtext>true</mtext><mtext>symmetric</mtext><mo>=</mo><mtext>true</mtext><mo>/</mo><mo>≥</mo></mrow></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠬⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>3</mn><mo>.</mo></mrow></math>
✗ | ⠷⠋⠤⠛⠾⠷⠭⠾⠀⠨⠅ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mi>f</mi><mo>-</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></mrow></math>
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠞⠤⠆ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>t</mi><mo>−</mo><mn>2</mn></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mrow><mi>t</mi><mo>-</mo><mn>2</mn></mrow></mrow></math>
✗ | ⠷⠹⠋⠌⠛⠼⠾⠷⠞⠾⠀⠨⠅ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mrow><mo>[</mo><mi>f</mi><mo>,</mo><mi>g</mi><mo>]</mo></mrow><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠬⠭⠘⠆ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mo>+</mo><mi>x</mi><msup><mn>6</mn><mrow/></msup></mrow></math>
✗ | ⠷⠋⠡⠛⠾⠷⠭⠾⠀⠨⠅ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mrow><mi>f</mi><mo>·</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠋⠷⠒⠾⠀⠨⠅ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>z</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠋⠷⠒⠾⠬⠛⠷⠒⠾⠀⠨⠅ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>z</mi><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mi>z</mi><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠋⠷⠤⠆⠾⠀⠨⠅ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo><mo>=</mo></mrow></math>
✗ | ⠷⠋⠬⠛⠾⠷⠤⠆⠾⠀⠨⠅ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mrow><mi>f</mi><mo>+</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>)</mo><mo>=</mo></mrow></math>
✓ | ⠼⠂ | <math><mn>1</mn></math> | <math><mn>1</mn></math>
✓ | ⠼⠒ | <math><mn>3</mn></math> | <math><mn>3</mn></math>
✗ | ⠤⠼⠲ | <math><mrow><mo>−</mo><mn>4</mn></mrow></math> | <math><mrow><mo>&#x2212;</mo><mn>3</mn></mrow></math>
✗ | ⠷⠋⠤⠛⠾⠷⠲⠾⠀⠨⠅ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mi>f</mi><mo>&#x2212;</mo><mi>g</mi><mo>)</mo></mrow><mo>&#x00B7;</mo><mi>k</mi></mrow></math>
✗ | ⠷⠹⠋⠌⠛⠼⠾⠷⠲⠾⠀⠨⠅ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>3</mo><mo>)</mo></mrow><mo>&#x00B7;</mo><mi>k</mi></mrow></math>
✗ | ⠎⠷⠞⠾⠀⠨⠅⠀⠼⠢⠤⠒⠞⠸⠲ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mo>−</mo><mn>3</mn><mi>t</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>s</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00D7;</mo><mn>2</mn><mo>&#x2212;</mo><mi>t</mi><mo>.</mo></mrow></math>
✗ | ⠛⠷⠞⠾⠀⠨⠅⠀⠷⠹⠎⠌⠗⠼⠾⠷⠞⠾ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mfrac><mi>s</mi><mi>r</mi></mfrac><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00B7;</mo><mrow><mo>(</mo><mfrac><mi>s</mi><mi>r</mi></mfrac><mo>3</mo><mo>)</mo></mrow><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠟⠷⠞⠾⠀⠨⠅⠀⠷⠎⠨⠡⠗⠾⠷⠞⠾ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mi>s</mi><mo>∘</mo><mi>r</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>q</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00B7;</mo><mrow><mo>(</mo><mi>s</mi><msub><mi>&#x03B1;</mi><mi>r</mi></msub><mo>)</mo></mrow><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math>
✓ | ⠰⠎ | <math><mi>s</mi></math> | <math><mi>s</mi></math>
✗ | ⠽⠀⠨⠅⠀⠎⠷⠞⠾ | <math><mrow><mi>y</mi><mo>=</mo><mi>s</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>y</mi><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00B7;</mo><mi>s</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠛⠷⠭⠾ | <math><mrow><mi>y</mi><mo>=</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>y</mi><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00B7;</mo><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠷⠎⠡⠛⠾⠷⠂⠾ | <math><mrow><mo stretchy="false">(</mo><mi>s</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mi>s</mi><mo>+</mo><mi>g</mi><mo>)</mo></mrow><mrow><mo>(</mo><mn>2</mn><mo>)</mo></mrow></mrow></math>
✗ | ⠷⠎⠨⠡⠛⠾⠷⠂⠨⠢⠾ | <math><mrow><mo stretchy="false">(</mo><mi>s</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1.5</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mrow><mo>(</mo><mi>s</mi><msub><mi>&#x03B1;</mi><mi>g</mi></msub><mo>)</mo></mrow><mrow><mo>(</mo><mn>2</mn><mo>,</mo><mn>2</mn><mo>)</mo></mrow></mrow></math>
✗ | ⠰⠙⠠ | <math><mrow><mi>d</mi><mtext>,</mtext></mrow></math> | <math><mi>d</mi></math>
✗ | ⠼⠆⠨⠲ | <math><mn>2.4</mn></math> | <math><mn>6</mn></math>
✗ | ⠼⠆⠖⠨⠆ | <math><mn>26.2</mn></math> | <math><mrow><mn>6</mn><mo>:</mo><mn>6</mn></mrow></math>
✗ | ⠼⠴⠨⠴⠢ | <math><mn>0.05</mn></math> | <math><mrow><mn>0</mn><mo>0</mo><mo>;</mo></mrow></math>
✗ | ⠼⠴⠨⠴⠒ | <math><mn>0.03</mn></math> | <math><mrow><mn>0</mn><mo>0</mo><mo>:</mo></mrow></math>
✓ | ⠎⠷⠞⠾ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>s</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠉⠕⠎⠀⠷⠞⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00B7;</mo><mi>cos</mi><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠷⠤⠹⠨⠏⠌⠆⠼⠠⠀⠹⠨⠏⠌⠆⠼⠾⠠ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo>,</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mrow><mo>(</mo><mo>&#x2212;</mo><mfrac><mi>P</mi><mn>6</mn></mfrac><mo>,</mo><mfrac><mi>P</mi><mn>6</mn></mfrac><mo>)</mo></mrow></mrow></math>
✗ | ⠞⠀⠨⠅⠀⠁⠗⠉⠞⠁⠝⠀⠷⠽⠾⠸⠲ | <math><mrow><mi>t</mi><mo>=</mo><mi>arctan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>t</mi><mo>&#x00B7;</mo><mi>k</mi><mo>&#x00B7;</mo><mi>arctan</mi><mrow><mo>(</mo><mi>y</mi><mo>)</mo></mrow><mo>.</mo></mrow></math>
✗ | ⠎⠑⠉⠀⠷⠞⠾⠠ | <math><mrow><mi>sec</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>sec</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠎⠊⠝⠀⠷⠞⠾⠀⠌⠨⠅⠀⠼⠴⠠ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>/</mo><msqrt><mn>4</mn></msqrt></mrow></math>
✗ | ⠉⠎⠉⠀⠷⠞⠾⠀⠨⠅⠀⠹⠂⠌⠎⠊⠝⠀⠷⠞⠾⠼⠸⠲ | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mi>csc</mi><mo>(</mo><mi>t</mi><mo>)</mo><msqrt><mn>k</mn></msqrt><mo>=</mo><mfrac><mn>2</mn><mi>sin</mi></mfrac><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠉⠕⠞⠀⠷⠞⠾⠀⠨⠅⠀⠹⠉⠕⠎⠀⠷⠞⠾⠌⠎⠊⠝⠀⠷⠞⠾⠼⠸⠲ | <math><mrow><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mi>cot</mi><mo>(</mo><mi>t</mi><mo>)</mo><msqrt><mn>k</mn></msqrt><mo>=</mo><mfrac><mi>cos</mi><mi>sin</mi></mfrac><mo>(</mo><mi>t</mi><mo>)</mo></mrow></math>
✗ | ⠎⠊⠝⠀⠷⠨⠹⠾⠠ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mrow><mi>sin</mi><mo>(</mo><msqrt><mo>=</mo></msqrt><mo>)</mo></mrow></math>
✗ | ⠞⠁⠝⠀⠷⠨⠹⠾ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>tan</mi><mo>(</mo><msqrt><mo>=</mo></msqrt><mo>)</mo></mrow></math>
✗ | ⠨⠹⠸⠲ | <math><mrow><mi>θ</mi><mtext>.</mtext></mrow></math> | <math><mrow><msqrt><mn>2</mn></msqrt></mrow></math>
✗ | ⠨⠁ | <math><mi>α</mi></math> | <math><mrow><msqrt><mi>a</mi></msqrt></mrow></math>
✗ | ⠉⠎⠉⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠢⠌⠒⠼⠠ | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>5</mn><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | <math><mrow><mi>csc</mi><mo>(</mo><msqrt><mi>a</mi></msqrt><mo>)</mo><msqrt><mn>k</mn></msqrt><mo>=</mo><mfrac><mn>1</mn><mn>3</mn></mfrac></mrow></math>
✗ | ⠼⠢⠠ | <math><mrow><mn>5</mn><mtext>,</mtext></mrow></math> | <math><mrow><mn>1</mn></mrow></math>
✗ | ⠼⠲⠠ | <math><mrow><mn>4</mn><mtext>,</mtext></mrow></math> | <math><mrow><mn>3</mn></mrow></math>
✗ | ⠎⠊⠝⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠒⠌⠢⠼ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></mrow></math> | <math><mrow><mi>sin</mi><mo>(</mo><msqrt><mi>a</mi></msqrt><mo>)</mo><msqrt><mn>k</mn></msqrt><mo>=</mo><mfrac><mn>3</mn><mn>1</mn></mfrac></mrow></math>
✗ | ⠹⠒⠌⠢⠼⠸⠲ | <math><mrow><mfrac><mn>3</mn><mn>5</mn></mfrac><mtext>.</mtext></mrow></math> | <math><mrow><mfrac><mn>3</mn><mn>1</mn></mfrac><mo>(</mo><mn>2</mn><mo>)</mo></mrow></math>
✗ | ⠹⠜⠆⠻⠌⠆⠼⠠ | <math><mrow><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mtext>,</mtext></mrow></math> | <math><mrow><mo>=</mo><mrow><mo>(</mo><mn>5</mn><mo>)</mo></mrow><mfrac><mn>1</mn><mn>4</mn></mfrac></mrow></math>
✗ | ⠨⠃ | <math><mi>β</mi></math> | <math><mrow><msqrt><mi>b</mi></msqrt></mrow></math>
✗ | ⠨⠃⠸⠲ | <math><mrow><mi>β</mi><mtext>.</mtext></mrow></math> | <math><mrow><msqrt><mi>b</mi></msqrt><mo>(</mo><mn>2</mn><mo>)</mo></mrow></math>
✗ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠼⠴⠠ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo><msqrt><mn>k</mn></msqrt><mn>4</mn></mrow></math>
✗ | ⠳⠉⠕⠎⠀⠷⠞⠾⠳⠀⠐⠅⠱⠀⠼⠂ | <math><mrow><mo stretchy="false">|</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo stretchy="false">|</mo><mo>≤</mo><mn>1</mn></mrow></math> | <math><mrow><mo>|</mo><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>|</mo><mo>&lt;</mo><mn>2</mn></mrow></math>
✗ | ⠼⠴ | <math><mn>0</mn></math> | <math><mrow><mn>4</mn></mrow></math>
✗ | ⠹⠨⠏⠌⠲⠼ | <math><mfrac><mi>π</mi><mn>4</mn></mfrac></math> | <math><mrow><mo>=</mo><mfrac><msqrt><mi>p</mi></msqrt><mn>3</mn></mfrac></mrow></math>
✗ | ⠠⠁⠀⠨⠅⠀⠠⠇⠠⠺ | <math><mrow><mi>A</mi><mo>=</mo><mi>L</mi><mi>W</mi></mrow></math> | <math><mi>A</mi><mo>&lt;</mo><mi>KLW</mi></math>
✗ | ⠰⠃ | <math><mi>b</mi></math> | <math><msub><mi>b</mi><mn></mn></msub></math>
✗ | ⠊⠀⠨⠅⠀⠜⠤⠂⠻⠸⠲ | <math><mrow><mi>i</mi><mo>=</mo><msqrt><mn>−1</mn></msqrt><mo>.</mo></mrow></math> | <math><mi>i</mi><mo>&lt;</mo><mrow><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo></mrow></math>
✗ | ⠷⠴⠠⠀⠴⠾ | <math><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mn>0</mn></mrow><mo>)</mo></mrow></math> | <math><mrow><mo>(</mo><mo>]</mo><mi>A</mi><mo>]</mo><mo>)</mo></mrow></math>
✗ | ⠭⠘⠆ | <math><msup><mi>x</mi><mn>2</mn></msup></math> | <math><msup><mi>x</mi><mn>3</mn></msup></math>
