# Configuration:
#   Braille Code: ueb
#   Generate Braille: True
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 320 items. Usage info: prompt=2471475, candidates=20134, total=2586930, time=98951ms, TPS=4914.622032383034.2f
#
# Match | Test Input | Expected | Computed
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾ | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mi>x</mi><mo>−</mo><mn>1</mn></mrow><mn>4</mn></mfrac></mstyle><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>5</mn></mfrac></mstyle></math> | ⠬⠰⠷⠭⠐⠤⠼⠁⠨⠌⠼⠙⠾⠐⠖⠷⠼⠉⠭⠨⠌⠼⠑⠾ | ⠀⠰⠷⠭⠐⠤⠼⠁⠨⠌⠼⠙⠾⠐⠖⠰⠷⠼⠉⠭⠨⠌⠼⠑⠾
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>n</mi></math> | ⠰⠝ | ⠰⠝
✓ | <math><mrow><mi>a</mi><mo>=</mo><mn>6</mn></mrow></math> | ⠁⠀⠐⠶⠀⠼⠋ | ⠁⠀⠐⠶⠀⠼⠋
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>8</mn><mo>&gt;</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">|</mo><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>1</mn><mo data-mjx-texclass="CLOSE">|</mo></mrow></math> | ⠼⠓⠀⠈⠜⠀⠸⠳⠭⠰⠔⠼⠉⠐⠖⠼⠉⠭⠔⠼⠃⠐⠖⠼⠉⠭⠐⠖⠼⠁⠸⠳ | ⠼⠓⠀⠈⠜⠀⠸⠳⠭⠔⠼⠉⠐⠖⠼⠉⠭⠔⠼⠃⠐⠖⠼⠉⠭⠐⠖⠼⠁⠸⠳
✗ | <math><mrow><mi>i</mi><mo>=</mo><mrow><mo>(</mo><mfrac><mi>k</mi><mn>100</mn></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo></mrow></mrow></math> | ⠊⠀⠐⠶⠀⠰⠰⠐⠣⠷⠅⠨⠌⠼⠁⠚⠚⠾⠐⠜⠐⠣⠝⠐⠖⠼⠁⠐⠜ | ⠊⠀⠐⠶⠀⠐⠣⠰⠷⠅⠨⠌⠼⠁⠚⠚⠾⠐⠜⠐⠣⠝⠐⠖⠼⠁⠐⠜
✗ | <math><mrow><mfrac><mn>3</mn><mn>19</mn></mfrac><mtext>,</mtext></mrow></math> | ⠼⠉⠌⠁⠊⠂⠀ | ⠼⠉⠌⠁⠊⠂
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>C</mi><mo>=</mo><mn>2</mn><mi>π</mi><mi>r</mi></math> | ⠰⠠⠉⠀⠐⠶⠀⠼⠃⠨⠏⠗ | ⠰⠠⠉⠀⠐⠶⠀⠼⠃⠨⠏⠗
✓ | <math><mfrac><mn>6</mn><mn>20</mn></mfrac></math> | ⠼⠋⠌⠃⠚ | ⠼⠋⠌⠃⠚
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="left"><mrow><mo> </mo><msup><mn>2</mn><mrow><mi>x</mi><mo>−</mo><mn>1</mn></mrow></msup><mo>=</mo><msup><mn>2</mn><mrow><mn>2</mn><mi>x</mi><mo>−</mo><mn>4</mn></mrow></msup></mrow></mtd><mtd columnalign="left"><mrow><mtext>The common base is </mtext><mn>2.</mn></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mi>x</mi><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>4</mn><mtable><mtr><mtd><mrow/></mtd><mtd><mrow/></mtd><mtd><mrow/></mtd><mtd><mrow/></mtd></mtr></mtable></mrow></mtd><mtd columnalign="left"><mrow><mtext>By the one-to-one property the exponents must be equal</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="left"><mrow><mi>x</mi><mo>=</mo><mn>3</mn></mrow></mtd><mtd columnalign="left"><mrow><mtext>Solve for </mtext><mi>x</mi><mo>.</mo></mrow></mtd></mtr></mtable></math> | ⠠⠀⠼⠃⠔⠣⠭⠐⠤⠼⠁⠜⠀⠐⠶⠀⠼⠃⠔⠣⠼⠃⠭⠐⠤⠼⠙⠜⠀⠠⠮⠀⠉⠕⠍⠍⠕⠝⠀⠃⠁⠎⠑⠀⠊⠎⠀⠼⠃⠲⠠⠠⠭⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠤⠼⠙⠬⠀⠬⠀⠬⠀⠬⠀⠠⠃⠽⠀⠮⠀⠕⠝⠑⠤⠞⠕⠤⠕⠝⠑⠀⠏⠗⠕⠏⠻⠞⠽⠀⠮⠀⠑⠭⠏⠕⠝⠢⠞⠎⠀⠍⠥⠌⠀⠃⠑⠀⠑⠟⠥⠁⠇⠲⠠⠠⠭⠀⠐⠶⠀⠼⠉⠀⠠⠎⠕⠇⠧⠑⠀⠿⠀⠭⠲⠠ | ⠰⠰⠰⠼⠃⠔⠣⠭⠐⠤⠼⠁⠜⠀⠐⠶⠀⠼⠃⠔⠣⠼⠃⠭⠐⠤⠼⠙⠜⠀⠠⠞⠓⠑⠀⠉⠕⠍⠍⠕⠝⠀⠃⠁⠎⠑⠀⠊⠎⠀⠼⠃⠲⠠⠠⠭⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠤⠼⠙⠀⠠⠃⠽⠀⠮⠀⠕⠝⠑⠤⠞⠕⠤⠕⠝⠑⠀⠏⠗⠕⠏⠻⠞⠽⠀⠮⠀⠑⠭⠏⠕⠝⠢⠞⠎⠀⠍⠥⠎⠞⠀⠃⠑⠀⠑⠟⠥⠁⠇⠲⠠⠠⠭⠀⠐⠶⠀⠼⠉⠀⠠⠎⠕⠇⠧⠑⠀⠿⠀⠭⠲⠰⠄
✓ | <math><mrow><mi>σ</mi><mo> </mo><mo>=</mo><mo> </mo><msqrt><mfrac><mrow><mi>Σ</mi><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>μ</mi><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mrow><mi>N</mi></mfrac></msqrt></mrow></math> | ⠨⠎⠀⠐⠶⠀⠰⠰⠩⠷⠠⠨⠎⠐⠣⠭⠐⠤⠨⠍⠐⠜⠔⠼⠃⠨⠌⠠⠝⠾⠬ | ⠨⠎⠀⠐⠶⠀⠰⠰⠩⠷⠠⠨⠎⠐⠣⠭⠐⠤⠨⠍⠐⠜⠔⠼⠃⠨⠌⠠⠝⠾⠬
✓ | <math><mrow><mn>18</mn><mo>+</mo><mn>19</mn></mrow></math> | ⠼⠁⠓⠐⠖⠼⠁⠊ | ⠼⠁⠓⠐⠖⠼⠁⠊
✓ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠞⠐⠜⠀⠐⠶ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠞⠐⠜⠀⠐⠶
✓ | <math><mn>5</mn></math> | ⠼⠑ | ⠼⠑
✗ | <math><mrow><mtext>$44,055</mtext><mo>.</mo></mrow></math> | ⠈⠎⠼⠙⠙⠂⠀⠼⠚⠑⠑⠲ | ⠈⠎⠼⠙⠙⠂⠚⠑⠑⠲
✓ | <math><mrow><msub><mi>a</mi><mn>21</mn></msub><mo>.</mo></mrow></math> | ⠁⠰⠢⠼⠃⠁⠲ | ⠁⠰⠢⠼⠃⠁⠲
✓ | <math><mtable columnalign="left"><mtr><mtd><mrow><mn>1</mn><mo>×</mo><mn>180</mn><mspace width="1.5em"></mspace><mn>2</mn><mo>×</mo><mn>90</mn><mspace width="1.5em"></mspace><mn>3</mn><mo>×</mo><mn>60</mn><mspace width="1.5em"></mspace><mn>4</mn><mo>×</mo><mn>45</mn><mspace width="1.5em"></mspace><mn>5</mn><mo>×</mo><mn>36</mn><mspace width="1.5em"></mspace><mn>6</mn><mo>×</mo><mn>30</mn><mspace width="1.5em"></mspace><mn>9</mn><mo>×</mo><mn>20</mn><mspace width="1.5em"></mspace><mn>10</mn><mo>×</mo><mn>18</mn><mspace width="1.5em"></mspace><mn>12</mn><mo>×</mo><mn>15</mn></mrow></mtd></mtr></mtable></math> | ⠼⠁⠐⠦⠼⠁⠓⠚⠬⠼⠃⠐⠦⠼⠊⠚⠬⠼⠉⠐⠦⠼⠋⠚⠬⠼⠙⠐⠦⠼⠙⠑⠬⠼⠑⠐⠦⠼⠉⠋⠬⠼⠋⠐⠦⠼⠉⠚⠬⠼⠊⠐⠦⠼⠃⠚⠬⠼⠁⠚⠐⠦⠼⠁⠓⠬⠼⠁⠃⠐⠦⠼⠁⠑ | ⠼⠁⠐⠦⠼⠁⠓⠚⠬⠼⠃⠐⠦⠼⠊⠚⠬⠼⠉⠐⠦⠼⠋⠚⠬⠼⠙⠐⠦⠼⠙⠑⠬⠼⠑⠐⠦⠼⠉⠋⠬⠼⠋⠐⠦⠼⠉⠚⠬⠼⠊⠐⠦⠼⠃⠚⠬⠼⠁⠚⠐⠦⠼⠁⠓⠬⠼⠁⠃⠐⠦⠼⠁⠑
✗ | <math><mrow><mfrac><mn>1</mn><msup><mi>x</mi><mn>2</mn></msup></mfrac><mo>,</mo></mrow></math> | ⠰⠷⠼⠁⠨⠌⠭⠔⠼⠃⠾⠂⠀ | ⠰⠷⠼⠁⠨⠌⠭⠔⠼⠃⠾⠂
✗ | <math><mrow><msub><mi>Z</mi><mn>1</mn></msub><mo>=</mo><mfrac><mrow><mover accent="true"><mi>X</mi><mo>–</mo></mover><mo>−</mo><msub><mi>μ</mi><mover accent="true"><mi>X</mi><mo>–</mo></mover></msub></mrow><msub><mi>σ</mi><mover accent="true"><mi>X</mi><mo>–</mo></mover></msub></mfrac><mo>=</mo><mfrac><mrow><mover accent="true"><mi>X</mi><mo>–</mo></mover><mo>−</mo><mi>μ</mi></mrow><mfrac bevelled="true"><mi>σ</mi><msqrt><mi>n</mi></msqrt></mfrac></mfrac></mrow></math> | ⠰⠰⠰⠠⠵⠢⠼⠁⠀⠐⠶⠀⠷⠠⠭⠱⠐⠤⠨⠍⠢⠣⠠⠭⠱⠜⠨⠌⠨⠎⠢⠣⠠⠭⠱⠜⠾⠀⠐⠶⠀⠷⠠⠭⠱⠐⠤⠨⠍⠨⠌⠷⠨⠎⠨⠌⠩⠝⠬⠾⠾⠰⠄ | ⠰⠰⠰⠠⠵⠢⠼⠁⠀⠐⠶⠀⠷⠠⠭⠱⠐⠤⠨⠍⠢⠣⠠⠭⠱⠜⠨⠌⠨⠎⠢⠣⠠⠭⠱⠜⠾⠀⠐⠶⠀⠷⠠⠭⠱⠐⠤⠨⠍⠨⠌⠨⠎⠸⠌⠩⠝⠬⠾⠰⠄
✓ | <math><mfrac><mn>1</mn><msup><mn>4</mn><mfrac><mn>5</mn><mn>2</mn></mfrac></msup></mfrac></math> | ⠰⠷⠼⠁⠨⠌⠼⠙⠔⠼⠑⠌⠃⠾ | ⠰⠷⠼⠁⠨⠌⠼⠙⠔⠼⠑⠌⠃⠾
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>43.3</mn></math> | ⠼⠙⠉⠲⠉ | ⠼⠙⠉⠲⠉
✗ | <math><mrow><mi>&lt;mi/&gt;</mi><mo>≥</mo><mi>&lt;mi/&gt;</mi></mrow></math> | ⠈⠣⠍⠊⠸⠌⠈⠜⠀⠸⠈⠜⠀⠈⠣⠍⠊⠸⠌⠈⠜ | ⠀⠸⠈⠜⠀
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo>−</mo><mn>0.75</mn></math> | ⠀⠉⠕⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠚⠲⠛⠑ | ⠀⠉⠕⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠚⠲⠛⠑
✓ | <math><mrow><mn>4</mn><mi>r</mi><msup><mrow><mo>(</mo><mrow><mn>2</mn><mi>r</mi><mo>−</mo><mn>1</mn></mrow><mo>)</mo></mrow><mrow><mo>−</mo><mfrac><mn>2</mn><mn>3</mn></mfrac></mrow></msup><mo>−</mo><mn>5</mn><msup><mrow><mo>(</mo><mrow><mn>2</mn><mi>r</mi><mo>−</mo><mn>1</mn></mrow><mo>)</mo></mrow><mfrac><mn>1</mn><mn>3</mn></mfrac></msup></mrow></math> | ⠼⠙⠗⠐⠣⠼⠃⠗⠐⠤⠼⠁⠐⠜⠔⠣⠐⠤⠼⠃⠌⠉⠜⠐⠤⠼⠑⠐⠣⠼⠃⠗⠐⠤⠼⠁⠐⠜⠔⠼⠁⠌⠉ | ⠼⠙⠗⠐⠣⠼⠃⠗⠐⠤⠼⠁⠐⠜⠔⠣⠐⠤⠼⠃⠌⠉⠜⠐⠤⠼⠑⠐⠣⠼⠃⠗⠐⠤⠼⠁⠐⠜⠔⠼⠁⠌⠉
✓ | <math><mfrac><mn>48</mn><mn>121</mn></mfrac></math> | ⠼⠙⠓⠌⠁⠃⠁ | ⠼⠙⠓⠌⠁⠃⠁
✓ | <math><mn>70</mn></math> | ⠼⠛⠚ | ⠼⠛⠚
✓ | <math><mrow><msub><msup><mi>P</mi><mo>′</mo></msup><mn>1</mn></msub><mo>−</mo><msub><msup><mi>P</mi><mo>′</mo></msup><mn>2</mn></msub></mrow></math> | ⠰⠰⠠⠏⠶⠢⠼⠁⠐⠤⠠⠏⠶⠢⠼⠃ | ⠰⠰⠠⠏⠶⠢⠼⠁⠐⠤⠠⠏⠶⠢⠼⠃
✗ | <math><mrow><mtext>If </mtext><mi>A</mi><mtext>, then </mtext><mi>B</mi></mrow></math> | ⠠⠊⠋⠀⠠⠁⠂⠀⠮⠝⠀⠰⠠⠃ | ⠠⠊⠋⠀⠠⠁⠂⠀⠞⠓⠑⠝⠀⠠⠃
✓ | <math><mrow><mn>100</mn><mi mathvariant="normal">%</mi><mo>÷</mo><mn>5</mn></mrow></math> | ⠼⠁⠚⠚⠨⠴⠐⠌⠼⠑ | ⠼⠁⠚⠚⠨⠴⠐⠌⠼⠑
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mo stretchy="false">(</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>4</mn><mo stretchy="false">)</mo></mstyle></math> | ⠐⠣⠼⠁⠂⠀⠐⠤⠼⠙⠐⠜ | ⠐⠣⠼⠁⠂⠀⠐⠤⠼⠙⠐⠜
✓ | <math><mrow><mrow><mo>(</mo><mrow><mn>2</mn><mi>y</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo></mrow><mo>−</mo><mrow><mo>(</mo><mrow><mn>2</mn><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>y</mi><mo>−</mo><mn>5</mn></mrow><mo>)</mo></mrow></mrow></math> | ⠐⠣⠼⠃⠽⠐⠖⠼⠁⠐⠜⠐⠤⠐⠣⠼⠃⠽⠔⠼⠃⠐⠤⠼⠃⠽⠐⠤⠼⠑⠐⠜ | ⠐⠣⠼⠃⠽⠐⠖⠼⠁⠐⠜⠐⠤⠐⠣⠼⠃⠽⠔⠼⠃⠐⠤⠼⠃⠽⠐⠤⠼⠑⠐⠜
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>120</mn><mo stretchy="false">(</mo><mn>0.65</mn><msup><mo stretchy="false">)</mo><mi>x</mi></msup><mtext> </mtext><mtext>.</mtext></math> | ⠀⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠁⠃⠚⠐⠣⠼⠚⠲⠋⠑⠐⠜⠔⠭⠀⠲ | ⠀⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠁⠃⠚⠐⠣⠼⠚⠲⠋⠑⠐⠜⠔⠭⠀⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi mathvariant="normal">$</mi><mn>19.20</mn></math> | ⠈⠎⠼⠁⠊⠲⠃⠚ | ⠈⠎⠼⠁⠊⠲⠃⠚
✗ | <math><mrow><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mtext>,</mtext></mrow></math> | ⠰⠰⠷⠩⠼⠃⠬⠨⠌⠼⠃⠾⠂⠀ | ⠰⠷⠩⠼⠃⠬⠨⠌⠼⠃⠾⠂
✓ | <math><mrow><msup><mn>1</mn><mi>x</mi></msup><mo>=</mo><mn>1</mn></mrow></math> | ⠼⠁⠔⠭⠀⠐⠶⠀⠼⠁ | ⠼⠁⠔⠭⠀⠐⠶⠀⠼⠁
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>r</mi></math> | ⠰⠗ | ⠰⠗
✓ | <math><mrow><mo>±</mo><mn>1</mn></mrow></math> | ⠸⠖⠼⠁ | ⠸⠖⠼⠁
✓ | <math><mfrac><mrow><mi>n</mi><mo>!</mo></mrow><mrow><msub><mi>r</mi><mn>1</mn></msub><mo>!</mo><msub><mi>r</mi><mn>2</mn></msub><mo>!</mo><mo>…</mo><msub><mi>r</mi><mi>k</mi></msub><mo>!</mo></mrow></mfrac></math> | ⠰⠰⠷⠝⠖⠨⠌⠗⠢⠼⠁⠖⠗⠢⠼⠃⠖⠲⠲⠲⠗⠢⠅⠖⠾ | ⠰⠰⠷⠝⠖⠨⠌⠗⠢⠼⠁⠖⠗⠢⠼⠃⠖⠲⠲⠲⠗⠢⠅⠖⠾
✓ | <math><mn>19</mn></math> | ⠼⠁⠊ | ⠼⠁⠊
✓ | <math><mi>p</mi></math> | ⠰⠏ | ⠰⠏
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><msup><mn>10</mn><mi>x</mi></msup><mo>=</mo><mn>0.03</mn></mstyle></math> | ⠼⠁⠚⠔⠭⠀⠐⠶⠀⠼⠚⠲⠚⠉ | ⠼⠁⠚⠔⠭⠀⠐⠶⠀⠼⠚⠲⠚⠉
✓ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math> | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭ | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>100</mn></math> | ⠼⠁⠚⠚ | ⠼⠁⠚⠚
✗ | <math><mrow><mo> </mo><mn>0</mn><mtext> </mtext><mo>≤</mo><mtext> </mtext><mi>P</mi><mrow><mo>(</mo><mi>A</mi><mo>)</mo></mrow><mtext> </mtext><mo>≤</mo><mtext> </mtext><mn>1.</mn><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mo stretchy="false">)</mo><mtext> </mtext><mo>=</mo><mtext> </mtext><mn>0</mn></mrow></math> | ⠀⠼⠚⠀⠸⠈⠣⠀⠠⠏⠐⠣⠠⠁⠐⠜⠀⠸⠈⠣⠀⠼⠁⠲⠠⠏⠐⠣⠠⠁⠐⠜⠀⠐⠶⠀⠼⠚ | ⠼⠚⠀⠸⠈⠣⠀⠠⠏⠐⠣⠠⠁⠐⠜⠀⠸⠈⠣⠀⠼⠁⠲⠠⠏⠐⠣⠠⠁⠐⠜⠀⠐⠶⠀⠼⠚
✗ | <math><msubsup><mi>s</mi><mi>x</mi><mn>2</mn></msubsup></math> | ⠰⠰⠎⠢⠭⠔⠼⠃ | ⠎⠢⠭⠔⠼⠃
✓ | <math><mfrac><mn>1</mn><mn>9</mn></mfrac></math> | ⠼⠁⠌⠊ | ⠼⠁⠌⠊
✓ | <math><mrow><mi>W</mi><mo stretchy="false">(</mo><mi>T</mi><mo stretchy="false">)</mo></mrow></math> | ⠠⠺⠐⠣⠠⠞⠐⠜ | ⠠⠺⠐⠣⠠⠞⠐⠜
✗ | <math><mrow><mo>(</mo><mrow><mtext>4</mtext><mtext>.59, </mtext><mfrac><mn>16</mn><mn>0.10</mn></mfrac></mrow><mo>)</mo></mrow></math> | ⠐⠣⠼⠙⠲⠼⠑⠊⠂⠀⠼⠁⠋⠌⠚⠲⠁⠚⠐⠜ | ⠐⠣⠼⠙⠲⠑⠊⠂⠀⠰⠷⠼⠁⠋⠨⠌⠼⠚⠲⠁⠚⠾⠐⠜
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠑⠂⠚⠚⠚⠭⠐⠤⠼⠚⠲⠁⠭⠔⠼⠃⠐⠖⠼⠁⠚⠚⠚⠨⠌⠭⠾ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠑⠂⠚⠚⠚⠭⠐⠤⠼⠚⠲⠁⠭⠔⠼⠃⠐⠖⠼⠁⠚⠚⠚⠨⠌⠭⠾
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mfrac><mi>P</mi><mi>g</mi></mfrac><mo>=</mo><mi>k</mi></math> | ⠰⠰⠰⠷⠠⠏⠨⠌⠛⠾⠀⠐⠶⠀⠅⠰⠄ | ⠰⠷⠠⠏⠨⠌⠛⠾⠀⠐⠶⠀⠰⠅
✓ | <math><mrow><mn>144</mn><mo>=</mo><msup><mn>2</mn><mn>4</mn></msup><mo>×</mo><msup><mn>3</mn><mn>2</mn></msup></mrow></math> | ⠼⠁⠙⠙⠀⠐⠶⠀⠼⠃⠔⠼⠙⠐⠦⠼⠉⠔⠼⠃ | ⠼⠁⠙⠙⠀⠐⠶⠀⠼⠃⠔⠼⠙⠐⠦⠼⠉⠔⠼⠃
✗ | <math><mrow><mi>z</mi><mo>=</mo><mfrac><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mi>μ</mi><mo>)</mo></mrow><mi>θ</mi></mfrac><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠵⠀⠐⠶⠀⠷⠐⠣⠭⠐⠤⠨⠍⠐⠜⠨⠌⠨⠹⠾⠲⠰⠄ | ⠰⠵⠀⠐⠶⠀⠰⠷⠐⠣⠭⠐⠤⠨⠍⠐⠜⠨⠌⠨⠹⠾⠲
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mfrac><mi>s</mi><mi>r</mi></mfrac><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠐⠣⠷⠎⠨⠌⠗⠾⠐⠜⠐⠣⠞⠐⠜ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠐⠣⠷⠎⠨⠌⠗⠾⠐⠜⠐⠣⠞⠐⠜
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>α</mi><mtext>,</mtext></math> | ⠨⠁⠂⠀ | ⠨⠁⠂
✓ | <math><mrow><mi>p</mi><mn>2022</mn><mo> </mo><mo>≥</mo><mo> </mo><mi>p</mi><mn>2021</mn></mrow></math> | ⠏⠼⠃⠚⠃⠃⠀⠸⠈⠜⠀⠏⠼⠃⠚⠃⠁ | ⠏⠼⠃⠚⠃⠃⠀⠸⠈⠜⠀⠏⠼⠃⠚⠃⠁
✓ | <math><mrow><msub><mi>log</mi><mi>b</mi></msub><mi>S</mi><mo>=</mo><msub><mi>log</mi><mi>b</mi></msub><mi>T</mi><mspace width="0.5em"></mspace><mspace width="0.5em"></mspace><mtext>if and only if</mtext><mspace width="0.5em"></mspace><mspace width="0.5em"></mspace><mi>S</mi><mo>=</mo><mi>T</mi></mrow></math> | ⠰⠰⠰⠇⠕⠛⠢⠃⠠⠎⠀⠐⠶⠀⠇⠕⠛⠢⠃⠠⠞⠀⠊⠋⠀⠁⠝⠙⠀⠕⠝⠇⠽⠀⠊⠋⠀⠠⠎⠀⠐⠶⠀⠠⠞⠰⠄ | ⠰⠰⠰⠇⠕⠛⠢⠃⠠⠎⠀⠐⠶⠀⠇⠕⠛⠢⠃⠠⠞⠀⠊⠋⠀⠁⠝⠙⠀⠕⠝⠇⠽⠀⠊⠋⠀⠠⠎⠀⠐⠶⠀⠠⠞⠰⠄
✗ | <math><mrow><msub><mover accent="true"><mi>X</mi><mo>–</mo></mover><mn>1</mn></msub><mtext> – </mtext><msub><mover accent="true"><mi>X</mi><mo>–</mo></mover><mn>2</mn></msub></mrow></math> | ⠰⠰⠰⠣⠠⠭⠱⠜⠢⠼⠁⠀⠠⠤⠀⠣⠠⠭⠱⠜⠢⠼⠃⠰⠄ | ⠰⠰⠠⠭⠱⠢⠼⠁⠐⠤⠠⠭⠱⠢⠼⠃
✓ | <math><mn>480</mn></math> | ⠼⠙⠓⠚ | ⠼⠙⠓⠚
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow><mn>2</mn></mfrac></mstyle><mo>+</mo><mi>x</mi><mo>+</mo><mn>1</mn><mo>≥</mo><mo>−</mo><mn>3</mn></math> | ⠰⠰⠷⠐⠤⠭⠔⠼⠃⠨⠌⠼⠃⠾⠐⠖⠭⠐⠖⠼⠁⠀⠸⠈⠜⠀⠐⠤⠼⠉ | ⠰⠰⠷⠐⠤⠭⠔⠼⠃⠨⠌⠼⠃⠾⠐⠖⠭⠐⠖⠼⠁⠀⠸⠈⠜⠀⠐⠤⠼⠉
✓ | <math><mi>∞</mi></math> | ⠼⠿ | ⠼⠿
