# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro
#   API Key: GEMINI_API_KEY
#   Batch Size: 70
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=79456, candidates=9128, total=122274, time=212739ms, TPS=23306.20070113935.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✗ | ⠰⠰⠰⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠐⠤⠐⠣⠭⠐⠖⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠃⠂⠀⠭⠀⠈⠣⠀⠼⠚⠠⠠⠼⠁⠌⠃⠐⠣⠭⠐⠤⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠁⠂⠀⠭⠀⠸⠈⠜⠀⠼⠚⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mrow> <mo>-</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>2</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mrow> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mn>0</mn> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfenced open="{" close=""> <mtable> <mtr><mtd><mo>-</mo><msup><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mtd><mtd><mi>x</mi><mo>&lt;</mo><mn>0</mn></mtd></mtr> <mtr><mtd><mfrac><mn>1</mn><mn>2</mn></mfrac><msup><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>2</mn><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mtd><mtd><mi>x</mi><mo>&#x2265;</mo><mn>0</mn></mtd></mtr> </mtable> </mfenced></math>
✗ | ⠏⠐⠣⠐⠤⠼⠃⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>,</mo><mtext>&#xA0;</mtext></math>
✗ | ⠏⠐⠣⠼⠃⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mn>2</mn><mo>)</mo><mo>,</mo><mtext>&#xA0;</mtext></math>
✓ | ⠰⠭⠀⠈⠣⠀⠼⠚⠦ | <math> <mrow> <mrow> <mi>x</mi> <mo>&lt;</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mi>x</mi><mo>&lt;</mo><mn>0</mn><mo>?</mo></math>
✗ | ⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn><mo>?</mo></math>
✗ | ⠏⠰⠦ | <math> <mrow> <mi>p</mi> <mo>?</mo> </mrow> </math> | <math><mi>P</mi><mo>?</mo></math>
✗ | ⠰⠽⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>y</mi><mo>=</mo><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠲⠛⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⋅</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>(</mo><mi>f</mi><mo>&#xB7;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#xB7;</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠰⠰⠰⠠⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠋⠐⠣⠭⠐⠜⠂⠀⠭⠀⠈⠣⠀⠁⠠⠠⠛⠐⠣⠭⠐⠜⠂⠀⠭⠀⠸⠈⠜⠀⠁⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>{</mo> <mrow> <mtable> <mtr> <mtd> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>&lt;</mo> <mi>a</mi> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </mtd> <mtd> <mrow> <mi>x</mi> <mo>≥</mo> <mi>a</mi> </mrow> </mtd> </mtr> </mtable> <mo fence="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo> </mrow> </mrow> </mrow> </math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mfenced open="{" close=""> <mtable> <mtr><mtd><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>,</mo></mtd><mtd><mi>x</mi><mo>&lt;</mo><mi>a</mi></mtd></mtr> <mtr><mtd><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>,</mo></mtd><mtd><mi>x</mi><mo>&#x2265;</mo><mi>a</mi></mtd></mtr> </mtable> </mfenced></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠙ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></math>
✓ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>-</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠞⠐⠤⠼⠃ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>t</mi> <mo>-</mo> <mn>2</mn> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>t</mi><mo>-</mo><mn>2</mn></math>
✓ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠞⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠐⠖⠭⠔⠼⠃ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>+</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></math>
✗ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>&#xB7;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠼⠉⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠼⠉⠐⠜⠐⠖⠛⠐⠣⠼⠉⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠐⠤⠼⠃⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠐⠣⠋⠐⠖⠛⠐⠜⠐⠣⠐⠤⠼⠃⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo>)</mo><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠼⠁ | <math> <mn>1</mn> </math> | <math><mn>1</mn></math>
✓ | ⠼⠉ | <math> <mn>3</mn> </math> | <math><mn>3</mn></math>
✓ | ⠐⠤⠼⠙ | <math> <mrow> <mo>-</mo> <mn>4</mn> </mrow> </math> | <math><mo>-</mo><mn>4</mn></math>
✓ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠼⠙⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mo>(</mo><mi>f</mi><mo>-</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>4</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠼⠙⠐⠜⠀⠐⠶ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>)</mo><mo>(</mo><mn>4</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠑⠐⠤⠼⠉⠞⠲ | <math> <mrow> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>-</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>t</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>s</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mn>5</mn><mo>-</mo><mn>3</mn><mi>t</mi><mo>.</mo></math>
✓ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠐⠣⠷⠎⠨⠌⠗⠾⠐⠜⠐⠣⠞⠐⠜ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <mi>r</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math><mi>g</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mo>(</mo><mfrac><mi>s</mi><mi>r</mi></mfrac><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo></math>
✓ | ⠟⠐⠣⠞⠐⠜⠀⠐⠶⠀⠐⠣⠎⠐⠴⠗⠐⠜⠐⠣⠞⠐⠜ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math><mi>q</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mo>(</mo><mi>s</mi><mo>&#x2218;</mo><mi>r</mi><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo></math>
✓ | ⠰⠎ | <math> <mi>s</mi> </math> | <math><mi>s</mi></math>
✓ | ⠰⠽⠀⠐⠶⠀⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math><mi>y</mi><mo>=</mo><mi>s</mi><mo>(</mo><mi>t</mi><mo>)</mo></math>
✓ | ⠰⠽⠀⠐⠶⠀⠛⠐⠣⠭⠐⠜ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math><mi>y</mi><mo>=</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✗ | ⠐⠣⠎⠐⠲⠛⠐⠜⠐⠣⠼⠁⠐⠜ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math><mo>(</mo><mi>s</mi><mo>&#xB7;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>1</mn><mo>)</mo></math>
✓ | ⠐⠣⠎⠐⠴⠛⠐⠜⠐⠣⠼⠁⠲⠑⠐⠜ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>s</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1.5</mn> <mo>)</mo> </mrow> </mrow> </math> | <math><mo>(</mo><mi>s</mi><mo>&#x2218;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>1.5</mn><mo>)</mo></math>
✓ | ⠰⠙⠂⠀ | <math> <mrow> <mi>d</mi> <mo>,</mo> </mrow> </math> | <math><mi>d</mi><mo>,</mo><mtext>&#xA0;</mtext></math>
✓ | ⠼⠃⠲⠙ | <math> <mn>2.4</mn> </math> | <math><mn>2.4</mn></math>
✓ | ⠼⠃⠋⠲⠃ | <math> <mn>26.2</mn> </math> | <math><mn>26.2</mn></math>
✓ | ⠼⠚⠲⠚⠑ | <math> <mn>0.05</mn> </math> | <math><mn>0.05</mn></math>
✓ | ⠼⠚⠲⠚⠉ | <math> <mn>0.03</mn> </math> | <math><mn>0.03</mn></math>
✓ | ⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>s</mi><mo>(</mo><mi>t</mi><mo>)</mo></math>
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠉⠕⠎⠐⠣⠞⠐⠜ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo></math>
✗ | ⠰⠰⠰⠐⠣⠐⠤⠷⠨⠏⠨⠌⠼⠃⠾⠂⠀⠷⠨⠏⠨⠌⠼⠃⠾⠐⠜⠂⠀⠰⠄ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>,</mo> <mfrac> <mi>π</mi> <mn>2</mn> </mfrac> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math><mo>(</mo><mo>-</mo><mfrac><mi>&#x3C0;</mi><mn>2</mn></mfrac><mo>,</mo><mtext>&#xA0;</mtext><mfrac><mi>&#x3C0;</mi><mn>2</mn></mfrac><mo>)</mo><mo>,</mo><mtext>&#xA0;</mtext><mo>.</mo></math>
✓ | ⠰⠞⠀⠐⠶⠀⠜⠉⠞⠁⠝⠐⠣⠽⠐⠜⠲ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mrow> <mi>arctan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>y</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>t</mi><mo>=</mo><mi>arctan</mi><mo>(</mo><mi>y</mi><mo>)</mo><mo>.</mo></math>
✓ | ⠎⠑⠉⠐⠣⠞⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>sec</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>sec</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>,</mo><mtext>&#xA0;</mtext></math>
✓ | ⠎⠔⠐⠣⠞⠐⠜⠀⠐⠶⠈⠱⠀⠼⠚⠂⠀ | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>&#x2260;</mo><mn>0</mn><mo>,</mo><mtext>&#xA0;</mtext></math>
✓ | ⠉⠎⠉⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>csc</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mfrac><mo>.</mo></math>
✓ | ⠉⠕⠞⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠷⠉⠕⠎⠐⠣⠞⠐⠜⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math> <mrow> <mrow> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math><mi>cot</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mrow><mi>sin</mi><mo>(</mo><mi>t</mi><mo>)</mo></mrow></mfrac><mo>.</mo></math>
✓ | ⠎⠔⠐⠣⠨⠹⠐⠜⠂⠀ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math><mi>sin</mi><mo>(</mo><mi>&#x3B8;</mi><mo>)</mo><mo>,</mo><mtext>&#xA0;</mtext></math>
✓ | ⠞⠁⠝⠐⠣⠨⠹⠐⠜ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math><mi>tan</mi><mo>(</mo><mi>&#x3B8;</mi><mo>)</mo></math>
✓ | ⠨⠹⠲ | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math> | <math><mi>&#x3B8;</mi><mo>.</mo></math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math><mi>&#x3B1;</mi></math>
