# Configuration:
#   Braille Code: UEB
#   Generate Braille: False
#   Model: gpt-5-mini
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in UEB braille. The user will provide input, one per line, where each line is Unicode UEB braille characters to translate into MathML (e.g., here is o...
#
# 182 items. Usage info: prompt=238968, candidates=81676, total=320644, time=1039708ms, TPS=12729.663548655664.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>r</mi></msup></math>
✗ | ⠰⠰⠰⠠⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠋⠐⠣⠭⠐⠜⠂⠀⠭⠀⠈⠣⠀⠁⠠⠠⠛⠐⠣⠭⠐⠜⠂⠀⠭⠀⠸⠈⠜⠀⠁⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></mtd></mtr><mtr><mtd><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mi>a</mi></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>(</mo><mi>f</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x22C5;</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠙ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math> | <math><mtext>p(x)=f(x). x ∈ A G(x). x — data classification: close; close; fence; close; fence; true; true; symmetric; true; true.</mtext></math>
✗ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></math>
✗ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠞⠐⠤⠼⠃ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>t</mi><mo>−</mo><mn>2</mn></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>-</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></math>
✗ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠞⠐⠜⠀⠐⠶ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>t</mi><mo>-</mo><mn>2</mn></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠐⠖⠭⠔⠼⠃ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></math> | <math><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>)</mo><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo></math>
✗ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></math>
✗ | ⠋⠐⠣⠼⠉⠐⠜⠀⠐⠶ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>.</mo><mn>7</mn><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></math>
✗ | ⠋⠐⠣⠼⠉⠐⠜⠐⠖⠛⠐⠣⠼⠉⠐⠜⠀⠐⠶ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>=</mo></math>
✗ | ⠋⠐⠣⠐⠤⠼⠃⠐⠜⠀⠐⠶ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>=</mo></math>
✗ | ⠐⠣⠋⠐⠖⠛⠐⠜⠐⠣⠐⠤⠼⠃⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>=</mo></math>
✗ | ⠼⠁ | <math><mn>1</mn></math> | <math><mo>(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo>)</mo><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>=</mo></math>
✗ | ⠼⠉ | <math><mn>3</mn></math> | <math><mn>1</mn></math>
✗ | ⠐⠤⠼⠙ | <math><mrow><mo>−</mo><mn>4</mn></mrow></math> | <math><mn>3</mn></math>
✗ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠼⠙⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mo>-</mo><mn>4</mn></math>
✗ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠼⠙⠐⠜⠀⠐⠶ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>&#x2212;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>4</mn><mo>)</mo><mo>=</mo></math>
✗ | ⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠑⠐⠤⠼⠉⠞⠲ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mo>−</mo><mn>3</mn><mi>t</mi><mtext>.</mtext></mrow></math> | <math><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>)</mo><mo>(</mo><mn>4</mn><mo>)</mo><mo>=</mo></math>
✗ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠐⠣⠷⠎⠨⠌⠗⠾⠐⠜⠐⠣⠞⠐⠜ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mfrac><mi>s</mi><mi>r</mi></mfrac><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>s</mi><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mn>5</mn><mo>-</mo><mn>3</mn><mi>r</mi><mo>.</mo></math>
✗ | ⠟⠐⠣⠞⠐⠜⠀⠐⠶⠀⠐⠣⠎⠐⠴⠗⠐⠜⠐⠣⠞⠐⠜ | <math><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mi>s</mi><mo>∘</mo><mi>r</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>g</mi><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mo>(</mo><mfrac><mi>s</mi><mi>r</mi></mfrac><mo>)</mo><mo>(</mo><mi>r</mi><mo>)</mo></math>
✗ | ⠰⠎ | <math><mi>s</mi></math> | <math><mi>q</mi><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mo>(</mo><mi>s</mi><mo>&#x22C5;</mo><mi>r</mi><mo>)</mo><mo>(</mo><mi>r</mi><mo>)</mo></math>
✗ | ⠰⠽⠀⠐⠶⠀⠎⠐⠣⠞⠐⠜ | <math><mrow><mi>y</mi><mo>=</mo><mi>s</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>s</mi></math>
✗ | ⠰⠽⠀⠐⠶⠀⠛⠐⠣⠭⠐⠜ | <math><mrow><mi>y</mi><mo>=</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>y</mi><mo>=</mo><mi>s</mi><mo>(</mo><mi>r</mi><mo>)</mo></math>
✗ | ⠐⠣⠎⠐⠲⠛⠐⠜⠐⠣⠼⠁⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mi>s</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math> | <math><mi>y</mi><mo>=</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>
✗ | ⠐⠣⠎⠐⠴⠛⠐⠜⠐⠣⠼⠁⠲⠑⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mi>s</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1.5</mn><mo stretchy="false">)</mo></mrow></math> | <math><mo>(</mo><mi>s</mi><mo>&#x2218;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>1</mn><mo>)</mo></math>
✗ | ⠰⠙⠂⠀ | <math><mrow><mi>d</mi><mtext>,</mtext></mrow></math> | <math><mo>(</mo><mi>s</mi><mo>&#x22C5;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mn>1.5</mn><mo>)</mo></math>
✗ | ⠼⠃⠲⠙ | <math><mn>2.4</mn></math> | <math><mi>d</mi><mo>,</mo></math>
✗ | ⠼⠃⠋⠲⠃ | <math><mn>26.2</mn></math> | <math><mn>2.4</mn></math>
✗ | ⠼⠚⠲⠚⠑ | <math><mn>0.05</mn></math> | <math><mn>26.2</mn></math>
✗ | ⠼⠚⠲⠚⠉ | <math><mn>0.03</mn></math> | <math><mn>0.05</mn></math>
✗ | ⠎⠐⠣⠞⠐⠜ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mn>0.03</mn></math>
✗ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠉⠕⠎⠐⠣⠞⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>s</mi><mo>(</mo><mi>r</mi><mo>)</mo></math>
✗ | ⠰⠰⠰⠐⠣⠐⠤⠷⠨⠏⠨⠌⠼⠃⠾⠂⠀⠷⠨⠏⠨⠌⠼⠃⠾⠐⠜⠂⠀⠰⠄ | <math><mrow><mo stretchy="false">(</mo><mo>−</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo>,</mo><mfrac><mi>π</mi><mn>2</mn></mfrac><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mi>cos</mi><mo>(</mo><mi>r</mi><mo>)</mo></math>
✗ | ⠰⠞⠀⠐⠶⠀⠜⠉⠞⠁⠝⠐⠣⠽⠐⠜⠲ | <math><mrow><mi>t</mi><mo>=</mo><mi>arctan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mo>(</mo><mo>-</mo><mfrac><mi mathvariant='normal'>&#x3C0;</mi><mn>2</mn></mfrac><mo>,</mo><mfrac><mi mathvariant='normal'>&#x3C0;</mi><mn>2</mn></mfrac><mo>)</mo><mo>.</mo></math>
✗ | ⠎⠑⠉⠐⠣⠞⠐⠜⠂⠀ | <math><mrow><mi>sec</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>t</mi><mo>=</mo><mi>ctan</mi><mo>(</mo><mi>y</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠎⠔⠐⠣⠞⠐⠜⠀⠐⠶⠈⠱⠀⠼⠚⠂⠀ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <math><mi>sec</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo></math>
✗ | ⠉⠎⠉⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <math><mi>sin</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mn>0</mn></math>
✗ | ⠉⠕⠞⠐⠣⠞⠐⠜⠀⠐⠶⠀⠰⠰⠷⠉⠕⠎⠐⠣⠞⠐⠜⠨⠌⠎⠊⠝⠐⠣⠞⠐⠜⠾⠲ | <math><mrow><mi>cot</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo></mrow></mfrac><mtext>.</mtext></mrow></math> | <math><mi>csc</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mfrac><mn>1</mn><mrow><mi>sin</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo></mrow></mfrac></math>
✗ | ⠎⠔⠐⠣⠨⠹⠐⠜⠂⠀ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>cot</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mfrac><mrow><mi>cos</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo></mrow><mrow><mi>sin</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo></mrow></mfrac></math>
✗ | ⠞⠁⠝⠐⠣⠨⠹⠐⠜ | <math><mrow><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo></mrow></math> | <math><mi>sin</mi><mo>&#x2061;</mo><mo>(</mo><mi>&#x3B8;</mi><mo>)</mo></math>
✗ | ⠨⠹⠲ | <math><mrow><mi>θ</mi><mtext>.</mtext></mrow></math> | <math><mi>tan</mi><mo>&#x2061;</mo><mo>(</mo><mi>&#x3B8;</mi><mo>)</mo></math>
✗ | ⠨⠁ | <math><mi>α</mi></math> | <math><mi>&#x3B8;</mi><mo>.</mo></math>
✗ | ⠉⠎⠉⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠼⠑⠌⠉⠂⠀ | <math><mrow><mi>csc</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>5</mn><mn>3</mn></mfrac><mtext>,</mtext></mrow></math> | <math><mi>A</mi></math>
✗ | ⠼⠑⠂⠀ | <math><mrow><mn>5</mn><mtext>,</mtext></mrow></math> | <math><mi>csc</mi><mo>&#x2061;</mo><mo>(</mo><mi>A</mi><mo>)</mo><mo>=</mo><mfrac><mn>5</mn><mn>3</mn></mfrac></math>
✗ | ⠼⠙⠂⠀ | <math><mrow><mn>4</mn><mtext>,</mtext></mrow></math> | <math><mn>5</mn></math>
✗ | ⠎⠔⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠼⠉⠌⠑ | <math><mrow><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>α</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></mrow></math> | <math><mn>4</mn></math>
✗ | ⠼⠉⠌⠑⠲ | <math><mrow><mfrac><mn>3</mn><mn>5</mn></mfrac><mtext>.</mtext></mrow></math> | <math><mi>sin</mi><mo>&#x2061;</mo><mo>(</mo><mi>A</mi><mo>)</mo><mo>=</mo><mfrac><mn>3</mn><mn>5</mn></mfrac></math>
✗ | ⠰⠰⠷⠩⠼⠃⠬⠨⠌⠼⠃⠾⠂⠀ | <math><mrow><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac><mtext>,</mtext></mrow></math> | <math><mfrac><mn>3</mn><mn>5</mn></mfrac><mo>.</mo></math>
✗ | ⠨⠃ | <math><mi>β</mi></math> | <math><mfrac><msqrt><mn>2</mn></msqrt><mn>2</mn></mfrac></math>
✗ | ⠨⠃⠲ | <math><mrow><mi>β</mi><mtext>.</mtext></mrow></math> | <math><mi>&#x03B2;</mi></math>
✗ | ⠉⠕⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠚⠂⠀ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <math><mi>&#x03B2;</mi><mo>.</mo></math>
✗ | ⠸⠳⠉⠕⠎⠐⠣⠞⠐⠜⠸⠳⠀⠸⠈⠣⠀⠼⠁ | <math><mrow><mo stretchy="false">|</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo stretchy="false">|</mo><mo>≤</mo><mn>1</mn></mrow></math> | <math><mi>cos</mi><mo>&#x2061;</mo><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mn>0</mn></math>
✗ | ⠼⠚ | <math><mn>0</mn></math> | <math><mover><mi>cos</mi><mo>&#x2D9;</mo></mover><mo>(</mo><mi>r</mi><mo>)</mo><mo>=</mo><mn>1</mn></math>
✗ | ⠰⠰⠷⠨⠏⠨⠌⠼⠙⠾ | <math><mfrac><mi>π</mi><mn>4</mn></mfrac></math> | <math><mn>0</mn></math>
✗ | ⠠⠁⠀⠐⠶⠀⠠⠠⠇⠺ | <math><mrow><mi>A</mi><mo>=</mo><mi>L</mi><mi>W</mi></mrow></math> | <math><mfrac><mi>&#x3C0;</mi><mn>4</mn></mfrac></math>
✗ | ⠰⠃ | <math><mi>b</mi></math> | <math><mi>A</mi><mo>=</mo><mi>LW</mi></math>
✗ | ⠊⠀⠐⠶⠀⠰⠩⠐⠤⠼⠁⠬⠲ | <math><mrow><mi>i</mi><mo>=</mo><msqrt><mn>−1</mn></msqrt><mo>.</mo></mrow></math> | <math><mi>b</mi></math>
✗ | ⠐⠣⠼⠚⠂⠀⠼⠚⠐⠜ | <math><mrow><mo>(</mo><mrow><mn>0</mn><mo>,</mo><mn>0</mn></mrow><mo>)</mo></mrow></math> | <math><mi>i</mi><mo>=</mo><msqrt><mo>-</mo><mn>1</mn></msqrt></math>
✗ | ⠭⠰⠔⠼⠃ | <math><msup><mi>x</mi><mn>2</mn></msup></math> | <math><mo>(</mo><mn>0</mn><mo>,</mo><mn>0</mn><mo>)</mo></math>
✗ | ⠠⠼⠚⠖⠀⠐⠶⠀⠼⠁⠠⠠⠼⠁⠖⠀⠐⠶⠀⠼⠁⠠⠠⠝⠖⠀⠐⠶⠀⠝⠐⠣⠝⠐⠤⠼⠁⠐⠜⠐⠣⠝⠐⠤⠼⠃⠐⠜⠄⠸⠡⠭⠼⠚⠚⠃⠃⠰⠑⠋⠄⠐⠣⠼⠃⠐⠜⠐⠣⠼⠁⠐⠜⠂⠀⠿⠀⠰⠝⠀⠸⠈⠜⠀⠼⠃⠠ | <math><mtable columnalign="left"><mtr><mtd><mrow><mn>0</mn><mo>!</mo><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr><mtd><mrow><mn>1</mn><mo>!</mo><mo>=</mo><mn>1</mn></mrow></mtd></mtr><mtr><mtd><mrow><mi>n</mi><mo>!</mo><mo>=</mo><mi>n</mi><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>−</mo><mn>2</mn></mrow><mo>)</mo></mrow><mo>⋯</mo><mrow><mo>(</mo><mn>2</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>1</mn><mo>)</mo></mrow><mtext>, for </mtext><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></mtd></mtr></mtable></math> | <math><msup><mi>x</mi><mn>2</mn></msup></math>
✗ | ⠰⠰⠰⠁⠢⠝⠀⠐⠶⠀⠁⠢⠼⠁⠐⠖⠙⠐⠣⠝⠐⠤⠼⠁⠐⠜⠰⠄ | <math><mtable columnalign="left"><mtr><mtd><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><msub><mi>a</mi><mn>1</mn></msub><mo>+</mo><mi>d</mi><mo stretchy="false">(</mo><mi>n</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></mtd></mtr></mtable></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠰⠰⠰⠁⠢⠝⠀⠐⠶⠀⠗⠁⠢⠣⠝⠐⠤⠼⠁⠜⠂⠀⠝⠀⠸⠈⠜⠀⠼⠃⠰⠄ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mi>r</mi><msub><mi>a</mi><mrow><mi>n</mi><mo>−</mo><mn>1</mn></mrow></msub><mo>,</mo><mi>n</mi><mo>≥</mo><mn>2</mn></mrow></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠰⠝ | <math><mi>n</mi></math> | <math><mtext>UNTRANSLATED</mtext></math>
✗ | ⠰⠰⠰⠠⠎⠢⠝⠀⠐⠶⠀⠷⠁⠢⠼⠁⠐⠣⠼⠁⠐⠤⠗⠔⠝⠐⠜⠨⠌⠼⠁⠐⠤⠗⠾⠂⠀⠗⠀⠐⠶⠈⠱⠀⠼⠁⠰⠄ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><mrow><msub><mi>a</mi><mn>1</mn></msub><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><msup><mi>r</mi><mi>n</mi></msup><mo stretchy="false">)</mo></mrow><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><mi>n</mi></math>
✗ | ⠰⠰⠰⠠⠎⠢⠝⠀⠐⠶⠀⠷⠁⠢⠼⠁⠨⠌⠼⠁⠐⠤⠗⠾⠂⠀⠗⠀⠐⠶⠈⠱⠀⠼⠁⠰⠄ | <math><mrow><msub><mi>S</mi><mi>n</mi></msub><mo>=</mo><mfrac><msub><mi>a</mi><mn>1</mn></msub><mrow><mn>1</mn><mo>−</mo><mi>r</mi></mrow></mfrac><mo>,</mo><mi>r</mi><mo>≠</mo><mn>1</mn></mrow></math> | <math><mtext>UNTRANSLATED</mtext></math>
