# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gemini-3.1-pro-preview 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 2471
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/nemeth.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 80 items. Usage info: prompt=517234, candidates=4017, total=525388, time=17407ms, TPS=4333.333333333333.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠿⠹⠒⠭⠌⠲⠼⠤⠂⠀⠨⠅⠀⠼⠆⠭⠬⠹⠔⠌⠆⠼ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠷⠆⠽⠬⠔⠺⠾⠷⠆⠽⠤⠔⠺⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>+</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>−</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mtext> </mtext></math> | <math><mrow><mo>(</mo><mn>2</mn><mi>y</mi><mo>+</mo><mn>9</mn><mi>w</mi><mo>)</mo></mrow><mrow><mo>(</mo><mn>2</mn><mi>y</mi><mo>-</mo><mn>9</mn><mi>w</mi><mo>)</mo></mrow></math>
✓ | ⠁⠘⠍⠸⠌⠝ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>a</mi><mrow data-mjx-texclass="ORD"><mi>m</mi><mrow data-mjx-texclass="ORD"><mo>/</mo></mrow><mi>n</mi></mrow></msup></math> | <math><msup><mi>a</mi><mrow><mi>m</mi><mo>/</mo><mi>n</mi></mrow></msup></math>
✓ | ⠃⠀⠨⠅⠀⠼⠢ | <math><mrow><mi>b</mi><mo>=</mo><mn>5</mn></mrow></math> | <math><mi>b</mi><mo>=</mo><mn>5</mn></math>
✓ | ⠛⠷⠥⠾⠀⠨⠅⠀⠜⠥⠬⠆⠻⠤⠒ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>g</mi><mo stretchy="false">(</mo><mi>u</mi><mo stretchy="false">)</mo><mo>=</mo><msqrt><mi>u</mi><mo>+</mo><mn>2</mn></msqrt><mo>−</mo><mn>3</mn></math> | <math><mi>g</mi><mo>(</mo><mi>u</mi><mo>)</mo><mo>=</mo><msqrt><mi>u</mi><mo>+</mo><mn>2</mn></msqrt><mo>-</mo><mn>3</mn></math>
✓ | ⠊⠀⠨⠅⠀⠷⠹⠅⠌⠂⠴⠴⠼⠾⠷⠝⠬⠂⠾ | <math><mrow><mi>i</mi><mo>=</mo><mrow><mo>(</mo><mfrac><mi>k</mi><mn>100</mn></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo></mrow></mrow></math> | <math><mi>i</mi><mo>=</mo><mrow><mo>(</mo><mfrac><mi>k</mi><mn>100</mn></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mi>n</mi><mo>+</mo><mn>1</mn><mo>)</mo></mrow></math>
✓ | ⠨⠅⠀⠠⠹⠹⠒⠌⠂⠔⠼⠠⠌⠹⠖⠌⠂⠔⠼⠠⠼ | <math><mrow><mspace width="0.25em"></mspace><mo>=</mo><mspace width="0.25em"></mspace><mfrac><mfrac><mn>3</mn><mn>19</mn></mfrac><mfrac><mn>6</mn><mn>19</mn></mfrac></mfrac></mrow></math> | <math><mo>=</mo><mfrac><mfrac><mn>3</mn><mn>19</mn></mfrac><mfrac><mn>6</mn><mn>19</mn></mfrac></mfrac></math>
✓ | ⠼⠆⠨⠏⠠ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>2</mn><mi>π</mi><mtext>,</mtext></math> | <math><mn>2</mn><mi>π</mi><mo>,</mo></math>
✓ | ⠹⠖⠌⠆⠴⠼ | <math><mfrac><mn>6</mn><mn>20</mn></mfrac></math> | <math><mfrac><mn>6</mn><mn>20</mn></mfrac></math>

#===========

# Normalized MathML
Match | Test Input | Expected | Computed
✓ | ⠿⠹⠒⠭⠌⠲⠼⠤⠂⠀⠨⠅⠀⠼⠆⠭⠬⠹⠔⠌⠆⠼ | <math> <mrow> <mrow> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mn>4</mn> </mfrac> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mfrac> <mn>9</mn> <mn>2</mn> </mfrac> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mn>4</mn> </mfrac> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mfrac> <mn>9</mn> <mn>2</mn> </mfrac> </mrow> </mrow> </math>
✓ | ⠁⠀⠨⠅⠀⠽⠱⠤⠃⠭⠱ | <math> <mrow> <mi>a</mi> <mo>=</mo> <mrow> <mover> <mi>y</mi> <mo>¯</mo> </mover> <mo>-</mo> <mrow> <mi>b</mi> <mo>⁢</mo> <mover> <mi>x</mi> <mo>¯</mo> </mover> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>a</mi> <mo>=</mo> <mrow> <mover> <mi>y</mi> <mo>¯</mo> </mover> <mo>-</mo> <mrow> <mi>b</mi> <mo>⁢</mo> <mover> <mi>x</mi> <mo>¯</mo> </mover> </mrow> </mrow> </mrow> </math>
✓ | ⠰⠉ | <math> <mi>c</mi> </math> | <math> <mi>c</mi> </math>
✓ | ⠼⠂⠴⠴ | <math> <mn>100</mn> </math> | <math> <mn>100</mn> </math>
✗ | ⠷⠑⠘⠒⠠⠀⠼⠒⠾⠠ | <math> <mrow> <mrow> <mrow> <msup> <mi>(e</mi> <mn>3</mn> </msup> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <msup> <mi>e</mi> <mn>3</mn> </msup> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠦⠴⠴⠈⠴ | <math> <mi>800%</mi> </math> | <math> <mi>800%</mi> </math>
✓ | ⠷⠋⠡⠛⠾⠷⠤⠂⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠹⠒⠌⠂⠴⠴⠼ | <math> <mfrac> <mn>3</mn> <mn>100</mn> </mfrac> </math> | <math> <mfrac> <mn>3</mn> <mn>100</mn> </mfrac> </math>
✓ | ⠷⠭⠤⠒⠾ | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠼⠖⠶⠨⠂⠶⠶⠢⠀⠐⠅⠱⠀⠨⠍⠀⠐⠅⠱⠀⠼⠖⠦⠨⠦⠆⠆⠢ | <math> <mrow> <mn>67.1775</mn> <mo>≤</mo> <mi>μ</mi> <mo>≤</mo> <mn>68.8225</mn> </mrow> </math> | <math> <mrow> <mn>67.1775</mn> <mo>≤</mo> <mi>μ</mi> <mo>≤</mo> <mn>68.8225</mn> </mrow> </math>
✓ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠼⠴⠠ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠗⠀⠈⠱⠈⠱⠀⠼⠴ | <math> <mrow> <mi>r</mi> <mo>≈</mo> <mn>0</mn> </mrow> </math> | <math> <mrow> <mi>r</mi> <mo>≈</mo> <mn>0</mn> </mrow> </math>
✓ | ⠐⠏⠣⠸⠣⠻ | <math> <mover> <mi>p</mi> <mo>^</mo> </mover> </math> | <math> <mover> <mi>p</mi> <mo>^</mo> </mover> </math>
✓ | ⠤⠼⠂⠆⠢ | <math> <mrow> <mo>-</mo> <mn>125</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>125</mn> </mrow> </math>
✓ | ⠰⠠⠞⠠ | <math> <mrow> <mi>T</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>T</mi> <mo>,</mo> </mrow> </math>
✓ | ⠞⠀⠨⠅⠀⠼⠒⠠ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mn>3</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mn>3</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠞⠘⠤⠒⠸⠌⠆ | <math> <msup> <mi>t</mi> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>/</mo> <mn>2</mn> </mrow> </msup> </math> | <math> <msup> <mi>t</mi> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>/</mo> <mn>2</mn> </mrow> </msup> </math>
✓ | ⠼⠲⠘⠢⠐⠬⠒⠘⠆ | <math> <mrow> <msup> <mn>4</mn> <mn>5</mn> </msup> <mo>+</mo> <msup> <mn>3</mn> <mn>2</mn> </msup> </mrow> </math> | <math> <mrow> <msup> <mn>4</mn> <mn>5</mn> </msup> <mo>+</mo> <msup> <mn>3</mn> <mn>2</mn> </msup> </mrow> </math>
✓ | ⠞⠁⠝⠀⠷⠨⠋⠾ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>ϕ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>ϕ</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠠⠑⠠⠃⠠⠍⠀⠨⠅⠀⠞⠰⠹⠨⠁⠌⠆⠼⠐⠷⠹⠎⠌⠜⠝⠻⠼⠾⠀⠨⠅⠀⠷⠆⠨⠴⠔⠒⠾⠷⠹⠴⠨⠒⠌⠜⠆⠴⠻⠼⠾⠀⠨⠅⠀⠼⠴⠨⠂⠲⠴ | <math> <mrow> <mrow> <mi>E</mi> <mo>⁣</mo> <mi>B</mi> <mo>⁣</mo> <mi>M</mi> </mrow> <mo>=</mo> <mrow> <msub> <mi>t</mi> <mfrac> <mi>α</mi> <mn>2</mn> </mfrac> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <msqrt> <mi>n</mi> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mn>2.093</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mfrac> <mn>0.3</mn> <msqrt> <mn>20</mn> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.140</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>E</mi> <mo>⁣</mo> <mi>B</mi> <mo>⁣</mo> <mi>M</mi> </mrow> <mo>=</mo> <mrow> <msub> <mi>t</mi> <mfrac> <mi>α</mi> <mn>2</mn> </mfrac> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <msqrt> <mi>n</mi> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mn>2.093</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mfrac> <mn>0.3</mn> <msqrt> <mn>20</mn> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.140</mn> </mrow> </math>
✗ | ⠠⠞⠁⠭ | <math> <mi>Tax</mi> </math> | <math> <mrow> <mi>T</mi> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>x</mi> </mrow> </math>
✓ | ⠷⠤⠆⠠⠀⠢⠾ | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>,</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>,</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠼⠒⠶⠨⠔ | <math> <mn>37.9</mn> </math> | <math> <mn>37.9</mn> </math>
✓ | ⠐⠟⠣⠸⠣⠻ | <math> <mover> <mi>q</mi> <mo>^</mo> </mover> </math> | <math> <mover> <mi>q</mi> <mo>^</mo> </mover> </math>
✓ | ⠹⠂⠌⠆⠼ | <math> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> </math> | <math> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> </math>
✓ | ⠹⠂⠆⠌⠂⠔⠼ | <math> <mfrac> <mn>12</mn> <mn>19</mn> </mfrac> </math> | <math> <mfrac> <mn>12</mn> <mn>19</mn> </mfrac> </math>
✓ | ⠰⠃ | <math> <mi>b</mi> </math> | <math> <mi>b</mi> </math>
✓ | ⠼⠒⠆ | <math> <mn>32</mn> </math> | <math> <mn>32</mn> </math>
✓ | ⠵⠘⠹⠂⠌⠦⠼⠐⠡⠵⠘⠹⠶⠌⠦⠼ | <math> <mrow> <msup> <mi>z</mi> <mfrac> <mn>1</mn> <mn>8</mn> </mfrac> </msup> <mo>·</mo> <msup> <mi>z</mi> <mfrac> <mn>7</mn> <mn>8</mn> </mfrac> </msup> </mrow> </math> | <math> <mrow> <msup> <mi>z</mi> <mfrac> <mn>1</mn> <mn>8</mn> </mfrac> </msup> <mo>·</mo> <msup> <mi>z</mi> <mfrac> <mn>7</mn> <mn>8</mn> </mfrac> </msup> </mrow> </math>
✓ | ⠝⠂⠬⠝⠆⠤⠆ | <math> <mrow> <msub> <mi>n</mi> <mn>1</mn> </msub> <mo>+</mo> <msub> <mi>n</mi> <mn>2</mn> </msub> <mo>-</mo> <mn>2</mn> </mrow> </math> | <math> <mrow> <msub> <mi>n</mi> <mn>1</mn> </msub> <mo>+</mo> <msub> <mi>n</mi> <mn>2</mn> </msub> <mo>-</mo> <mn>2</mn> </mrow> </math>
✗ | ⠼⠲⠢⠈⠴ | <math> <mrow> <mn>45</mn> <mo>%</mo> </mrow> </math> | <math> <mi>45%</mi> </math>
✗ | ⠹⠠⠏⠁⠗⠞⠽⠀⠰⠠⠁⠀⠠⠎⠥⠗⠏⠇⠥⠎⠀⠠⠧⠕⠞⠑⠎⠀⠤⠀⠠⠏⠁⠗⠞⠽⠀⠰⠠⠃⠀⠠⠎⠥⠗⠏⠇⠥⠎⠀⠠⠧⠕⠞⠑⠎⠌⠠⠞⠕⠞⠁⠇⠀⠠⠧⠕⠞⠑⠎⠼⠀⠨⠅⠀⠹⠔⠤⠖⠌⠒⠢⠼⠀⠨⠅⠀⠹⠒⠌⠒⠢⠼⠀⠈⠱⠈⠱⠀⠼⠴⠨⠴⠦⠢⠶ | <math> <mrow> <mfrac> <mrow> <mi>Party A Surplus Votes </mi> <mo>-</mo> <mi> Party B Surplus Votes</mi> </mrow> <mi>Total Votes</mi> </mfrac> <mo>=</mo> <mfrac> <mrow> <mn>9</mn> <mo>-</mo> <mn>6</mn> </mrow> <mn>35</mn> </mfrac> <mo>=</mo> <mrow> <mfrac> <mn>3</mn> <mn>35</mn> </mfrac> <mo>≈</mo> <mn>0.0857</mn> </mrow> </mrow> </math> | <math> <mrow> <mfrac> <mi>Party A Surplus Votes − Party B Surplus Votes</mi> <mi>Total Votes</mi> </mfrac> <mo>=</mo> <mfrac> <mrow> <mn>9</mn> <mo>-</mo> <mn>6</mn> </mrow> <mn>35</mn> </mfrac> <mo>=</mo> <mrow> <mfrac> <mn>3</mn> <mn>35</mn> </mfrac> <mo>≈</mo> <mn>0.0857</mn> </mrow> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠹⠖⠌⠆⠼ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mfrac> <mn>6</mn> <mn>2</mn> </mfrac> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mfrac> <mn>6</mn> <mn>2</mn> </mfrac> </mrow> </math>
✓ | ⠹⠢⠴⠌⠂⠴⠠⠴⠴⠴⠼ | <math> <mfrac> <mi>50</mi> <mi>10,000</mi> </mfrac> </math> | <math> <mfrac> <mi>50</mi> <mi>10,000</mi> </mfrac> </math>
✓ | ⠨⠎⠰⠨⠯⠰⠘⠆⠀⠨⠅⠀⠜⠆⠷⠙⠋⠾⠻ | <math> <mrow> <msub> <mi>σ</mi> <msup> <mi>χ</mi> <mn>2</mn> </msup> </msub> <mo>=</mo> <msqrt> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mi>f</mi> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> </mrow> </math> | <math> <mrow> <msub> <mi>σ</mi> <msup> <mi>χ</mi> <mn>2</mn> </msup> </msub> <mo>=</mo> <msqrt> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mi>f</mi> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> </mrow> </math>
✓ | ⠨⠎⠀⠨⠅⠀⠜⠹⠷⠃⠤⠁⠾⠘⠆⠐⠌⠂⠆⠼⠻ | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <msup> <mrow> <mo>(</mo> <mrow> <mi>b</mi> <mo>-</mo> <mi>a</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mn>12</mn> </mfrac> </msqrt> </mrow> </math> | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <msup> <mrow> <mo>(</mo> <mrow> <mi>b</mi> <mo>-</mo> <mi>a</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mn>12</mn> </mfrac> </msqrt> </mrow> </math>
✓ | ⠼⠒⠷⠢⠵⠾⠘⠹⠂⠌⠲⠼ | <math> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>z</mi> </mrow> <mo>)</mo> </mrow> <mfrac> <mn>1</mn> <mn>4</mn> </mfrac> </msup> </mrow> </math> | <math> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>z</mi> </mrow> <mo>)</mo> </mrow> <mfrac> <mn>1</mn> <mn>4</mn> </mfrac> </msup> </mrow> </math>
✓ | ⠼⠢⠲ | <math> <mn>54</mn> </math> | <math> <mn>54</mn> </math>
✓ | ⠼⠂⠸⠌⠖ | <math> <mrow> <mn>1</mn> <mo>/</mo> <mn>6</mn> </mrow> </math> | <math> <mrow> <mn>1</mn> <mo>/</mo> <mn>6</mn> </mrow> </math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <mi>α</mi> </math>
✓ | ⠭⠘⠆⠐⠬⠦⠭⠬⠂⠖ | <math> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>8</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>16</mn> </mrow> </math> | <math> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>8</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>16</mn> </mrow> </math>
✓ | ⠹⠖⠌⠢⠴⠼ | <math> <mfrac> <mn>6</mn> <mn>50</mn> </mfrac> </math> | <math> <mfrac> <mn>6</mn> <mn>50</mn> </mfrac> </math>
✓ | ⠽⠱ | <math> <mover> <mi>y</mi> <mo>¯</mo> </mover> </math> | <math> <mover> <mi>y</mi> <mo>¯</mo> </mover> </math>
✓ | ⠼⠂⠤⠹⠎⠊⠝⠀⠷⠭⠾⠌⠉⠎⠉⠀⠷⠭⠾⠼ | <math> <mrow> <mn>1</mn> <mo>-</mo> <mfrac> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mn>1</mn> <mo>-</mo> <mfrac> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math>
✓ | ⠹⠂⠌⠣⠖⠜⠁⠘⠒⠐⠻⠼ | <math> <mfrac> <mn>1</mn> <mroot> <msup> <mi>a</mi> <mn>3</mn> </msup> <mn>6</mn> </mroot> </mfrac> </math> | <math> <mfrac> <mn>1</mn> <mroot> <msup> <mi>a</mi> <mn>3</mn> </msup> <mn>6</mn> </mroot> </mfrac> </math>
✗ | ⠷⠲⠨⠢⠔⠠⠀⠹⠴⠨⠂⠴⠌⠜⠂⠖⠻⠼⠾ | <math> <mrow> <mo>(</mo> <mrow> <mi>4</mi> <mo>⁢</mo> <mi>.59, </mi> <mo>⁢</mo> <mfrac> <mn>0.10</mn> <msqrt> <mn>16</mn> </msqrt> </mfrac> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mn>4.59</mn> <mo>,</mo> <mfrac> <mn>0.10</mn> <msqrt> <mn>16</mn> </msqrt> </mfrac> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠼⠒⠘⠹⠆⠌⠒⠼⠐⠡⠒⠘⠹⠲⠌⠒⠼ | <math> <mrow> <msup> <mn>3</mn> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <mo>·</mo> <msup> <mn>3</mn> <mfrac> <mn>4</mn> <mn>3</mn> </mfrac> </msup> </mrow> </math> | <math> <mrow> <msup> <mn>3</mn> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <mo>·</mo> <msup> <mn>3</mn> <mfrac> <mn>4</mn> <mn>3</mn> </mfrac> </msup> </mrow> </math>
✓ | ⠹⠵⠘⠹⠆⠌⠒⠼⠐⠌⠵⠘⠹⠢⠌⠒⠼⠐⠼ | <math> <mfrac> <msup> <mi>z</mi> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <msup> <mi>z</mi> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </msup> </mfrac> </math> | <math> <mfrac> <msup> <mi>z</mi> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </msup> <msup> <mi>z</mi> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </msup> </mfrac> </math>
✗ | ⠷⠺⠘⠢⠐⠾⠘⠆⠀⠨⠅⠀⠺⠘⠢⠐⠡⠺⠘⠢⠀⠨⠅⠀⠺⠘⠂⠴ | <math> <mrow> <msup> <mrow> <mo>(</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mo>=</mo> <mrow> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>⋅</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> </mrow> <mo>=</mo> <msup> <mi>w</mi> <mn>10</mn> </msup> </mrow> </math> | <math> <mrow> <msup> <mrow> <mo>(</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mo>=</mo> <mrow> <msup> <mi>w</mi> <mn>5</mn> </msup> <mo>·</mo> <msup> <mi>w</mi> <mn>5</mn> </msup> </mrow> <mo>=</mo> <msup> <mi>w</mi> <mn>10</mn> </msup> </mrow> </math>
✓ | ⠜⠭⠻ | <math> <msqrt> <mi>x</mi> </msqrt> </math> | <math> <msqrt> <mi>x</mi> </msqrt> </math>
✓ | ⠷⠋⠤⠛⠾⠷⠤⠲⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>-</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>4</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
