# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✗ | ⠐⠣⠼⠛⠰⠃⠔⠼⠉⠐⠤⠼⠋⠐⠜⠔⠼⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mn>7</mn><msup><mi>b</mi><mn>3</mn></msup><mo>−</mo><mn>6</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup></math> | <math><msup><mrow><mo>(</mo><mrow><mn>7</mn><msup><mi>B</mi><mn>3</mn></msup><mo>−</mo><mn>6</mn></mrow><mo>)</mo></mrow><mn>2</mn></msup></math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠔⠣⠭⠐⠤⠼⠁⠜⠲ | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mn>2</mn><mrow><mi>x</mi><mo>−</mo><mn>1</mn></mrow></msup><mo>.</mo></mrow></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mn>2</mn><mrow><mi>x</mi><mo>−</mo><mn>1</mn></mrow></msup><mo>.</mo></mrow></math>
✓ | ⠰⠍ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>m</mi></math> | <math><mi>m</mi></math>
✓ | ⠐⠣⠼⠃⠽⠐⠖⠼⠊⠺⠐⠜⠐⠣⠼⠃⠽⠐⠤⠼⠊⠺⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>+</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>−</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mtext> </mtext></math> | <math><mrow><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>+</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>2</mn><mi>y</mi><mo>−</mo><mn>9</mn><mi>w</mi><mo stretchy="false">)</mo></mrow></math>
✓ | ⠰⠰⠁⠔⠣⠍⠸⠌⠝⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mi>a</mi><mrow data-mjx-texclass="ORD"><mi>m</mi><mrow data-mjx-texclass="ORD"><mo>/</mo></mrow><mi>n</mi></mrow></msup></math> | <math><msup><mi>a</mi><mrow><mi>m</mi><mo>/</mo><mi>n</mi></mrow></msup></math>
✗ | ⠰⠃⠀⠐⠶⠀⠼⠑ | <math><mrow><mi>b</mi><mo>=</mo><mn>5</mn></mrow></math> | <math><mrow><mi>B</mi><mo>=</mo><mn>5</mn></mrow></math>
✓ | ⠛⠐⠣⠥⠐⠜⠀⠐⠶⠀⠰⠩⠥⠐⠖⠼⠃⠬⠐⠤⠼⠉ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>g</mi><mo stretchy="false">(</mo><mi>u</mi><mo stretchy="false">)</mo><mo>=</mo><msqrt><mi>u</mi><mo>+</mo><mn>2</mn></msqrt><mo>−</mo><mn>3</mn></math> | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>u</mi><mo stretchy="false">)</mo><mo>=</mo><msqrt><mrow><mi>u</mi><mo>+</mo><mn>2</mn></mrow></msqrt><mo>−</mo><mn>3</mn></mrow></math>
✓ | ⠊⠀⠐⠶⠀⠰⠰⠐⠣⠷⠅⠨⠌⠼⠁⠚⠚⠾⠐⠜⠐⠣⠝⠐⠖⠼⠁⠐⠜ | <math><mrow><mi>i</mi><mo>=</mo><mrow><mo>(</mo><mfrac><mi>k</mi><mn>100</mn></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo></mrow></mrow></math> | <math><mrow><mi>i</mi><mo>=</mo><mrow><mo>(</mo><mfrac><mi>k</mi><mn>100</mn></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mrow><mi>n</mi><mo>+</mo><mn>1</mn></mrow><mo>)</mo></mrow></mrow></math>
✓ | ⠐⠶⠀⠰⠷⠼⠉⠌⠁⠊⠨⠌⠼⠋⠌⠁⠊⠾ | <math><mrow><mspace width="0.25em"></mspace><mo>=</mo><mspace width="0.25em"></mspace><mfrac><mfrac><mn>3</mn><mn>19</mn></mfrac><mfrac><mn>6</mn><mn>19</mn></mfrac></mfrac></mrow></math> | <math><mrow><mo>=</mo><mfrac><mfrac><mn>3</mn><mn>19</mn></mfrac><mfrac><mn>6</mn><mn>19</mn></mfrac></mfrac></mrow></math>
✓ | ⠼⠃⠨⠏⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>2</mn><mi>π</mi><mtext>,</mtext></math> | <math><mrow><mn>2</mn><mi>π</mi><mo>,</mo></mrow></math>
✓ | ⠼⠋⠌⠃⠚ | <math><mfrac><mn>6</mn><mn>20</mn></mfrac></math> | <math><mfrac><mn>6</mn><mn>20</mn></mfrac></math>
✓ | ⠼⠃⠑⠋⠀⠐⠶⠀⠼⠙⠔⠣⠭⠐⠤⠼⠑⠜⠲ | <math><mrow><mn>256</mn><mo>=</mo><msup><mn>4</mn><mrow><mi>x</mi><mo>−</mo><mn>5</mn></mrow></msup><mo>.</mo></mrow></math> | <math><mrow><mn>256</mn><mo>=</mo><msup><mn>4</mn><mrow><mi>x</mi><mo>−</mo><mn>5</mn></mrow></msup><mtext>.</mtext></mrow></math>
✗ | ⠨⠎⠀⠐⠶⠀⠰⠰⠩⠷⠠⠨⠎⠋⠐⠣⠭⠠⠤⠨⠍⠐⠜⠔⠼⠃⠨⠌⠠⠝⠾⠬ | <math><mrow><mi>σ</mi><mo> </mo><mo>=</mo><mo> </mo><msqrt><mfrac><mrow><mi>Σ</mi><mi>f</mi><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>–</mo><mi>μ</mi><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mrow><mi>N</mi></mfrac></msqrt></mrow></math> | <math><mrow><mi>σ</mi><mo>=</mo><msqrt><mfrac><mrow><mi>Σ</mi><mi>f</mi><msup><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mi>μ</mi><mo stretchy="false">)</mo></mrow><mn>2</mn></msup></mrow><mi>N</mi></mfrac></msqrt></mrow></math>
✓ | ⠼⠁⠓⠐⠖⠼⠁⠊ | <math><mrow><mn>18</mn><mo>+</mo><mn>19</mn></mrow></math> | <math><mn>18</mn><mo>+</mo><mn>19</mn></math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠤⠼⠁⠂ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>1</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>1</mn><mtext>,</mtext></mrow></math>
✓ | ⠼⠋ | <math><mn>6</mn></math> | <math><mn>6</mn></math>
✗ | ⠈⠎⠼⠙⠙⠂⠚⠑⠑⠲ | <math><mrow><mtext>$44,055</mtext><mo>.</mo></mrow></math> | <math><mrow><mtext>$</mtext><mn>44,055</mn><mtext>.</mtext></mrow></math>
✗ | ⠁⠀⠐⠶⠀⠸⠣⠼⠃⠂⠀⠼⠋⠂⠀⠼⠁⠚⠂⠀⠼⠲⠲⠲⠸⠜⠆ | <math><mrow><mi>a</mi><mo>=</mo><mo>{</mo><mn>2</mn><mtext>, </mtext><mn>6</mn><mtext>, </mtext><mn>10</mn><mtext>, </mtext><mn>...</mn><mo>}</mo><mo>;</mo></mrow></math> | <math><mrow><mi>a</mi><mo>=</mo><mrow><mo>{</mo><mrow><mn>2</mn><mo>,</mo><mn>6</mn><mo>,</mo><mn>10</mn><mo>,</mo><mo>…</mo></mrow><mo>}</mo></mrow><mo>;</mo></mrow></math>
✓ | ⠼⠉⠋⠐⠦⠼⠑⠀⠐⠶⠀⠼⠋⠔⠼⠃⠐⠦⠼⠑ | <math><mrow><mn>36</mn><mo>×</mo><mn>5</mn><mo>=</mo><msup><mn>6</mn><mn>2</mn></msup><mo>×</mo><mn>5</mn></mrow></math> | <math><mrow><mn>36</mn><mo>×</mo><mn>5</mn><mo>=</mo><msup><mn>6</mn><mn>2</mn></msup><mo>×</mo><mn>5</mn></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠰⠷⠭⠔⠼⠃⠐⠤⠼⠁⠨⠌⠭⠔⠼⠉⠐⠖⠼⠊⠭⠔⠼⠃⠐⠖⠼⠁⠙⠭⠾ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>9</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>14</mn><mi>x</mi></mrow></mfrac></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>9</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>14</mn><mi>x</mi></mrow></mfrac></mrow></math>
✗ | ⠰⠰⠨⠍⠢⠣⠭⠱⠜ | <math><msub><mi>µ</mi><mover><mi>x</mi><mo>−</mo></mover></msub></math> | <math><msub><mi>μ</mi><mover><mi>x</mi><mo>−</mo></mover></msub></math>
✓ | ⠼⠙⠔⠣⠐⠤⠼⠉⠌⠃⠜ | <math><msup><mn>4</mn><mrow><mo>−</mo><mfrac><mn>3</mn><mn>2</mn></mfrac></mrow></msup></math> | <math><msup><mn>4</mn><mrow><mo>−</mo><mfrac><mn>3</mn><mn>2</mn></mfrac></mrow></msup></math>
✓ | ⠼⠉⠁⠲⠉ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>31.3</mn></math> | <math><mn>31.3</mn></math>
✓ | ⠰⠰⠨⠎⠢⠣⠭⠱⠜ | <math><msub><mi>σ</mi><mover accent="true"><mi>x</mi><mo>¯</mo></mover></msub></math> | <math><msub><mi>σ</mi><mover><mi>x</mi><mo>−</mo></mover></msub></math>
✓ | ⠰⠰⠰⠀⠉⠕⠎⠐⠣⠨⠹⠐⠜⠀⠐⠶⠀⠷⠐⠤⠼⠉⠨⠌⠼⠓⠾⠂⠀⠨⠏⠀⠈⠣⠀⠨⠹⠀⠈⠣⠀⠷⠼⠉⠨⠏⠨⠌⠼⠃⠾⠂⠀⠰⠄ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mo>=</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mo>−</mo><mn>3</mn></mrow><mn>8</mn></mfrac></mstyle><mo>,</mo><mtext> </mtext><mi>π</mi><mo>&lt;</mo><mi>θ</mi><mo>&lt;</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>2</mn></mfrac></mstyle><mo>,</mo></math> | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>θ</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mo>−</mo><mn>3</mn></mrow><mn>8</mn></mfrac><mo>,</mo><mspace width="0.5em"></mspace><mi>π</mi><mo>&lt;</mo><mi>θ</mi><mo>&lt;</mo><mfrac><mrow><mn>3</mn><mi>π</mi></mrow><mn>2</mn></mfrac><mo>,</mo></mrow></math>
✓ | ⠼⠁⠑⠌⠓⠀⠐⠶⠀⠼⠁⠲⠓⠛⠑⠂ | <math><mrow><mfrac><mn>15</mn><mn>8</mn></mfrac><mo>=</mo><mn>1.875</mn><mo>,</mo></mrow></math> | <math><mrow><mfrac><mn>15</mn><mn>8</mn></mfrac><mo>=</mo><mn>1.875</mn><mtext>,</mtext></mrow></math>
✓ | ⠼⠃⠙⠌⠁⠃⠁ | <math><mfrac><mn>24</mn><mn>121</mn></mfrac></math> | <math><mfrac><mn>24</mn><mn>121</mn></mfrac></math>
✓ | ⠼⠉⠚ | <math><mn>30</mn></math> | <math><mn>30</mn></math>
✓ | ⠰⠠⠑ | <math><mi>E</mi></math> | <math><mi>E</mi></math>
✓ | ⠼⠁⠐⠖⠼⠉⠀⠐⠶⠀⠼⠙ | <math><mrow><mn>1</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>4</mn></mrow></math> | <math><mn>1</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>4</mn></math>
✓ | ⠼⠃⠚⠨⠴ | <math><mrow><mn>20</mn><mi mathvariant="normal">%</mi></mrow></math> | <math><mrow><mn>20</mn><mi mathvariant="normal">%</mi></mrow></math>
✓ | ⠐⠣⠐⠤⠼⠁⠂⠀⠐⠤⠼⠋⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>6</mn><mo stretchy="false">)</mo></mstyle></math> | <math><mrow><mo>(</mo><mrow><mo>−</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>6</mn></mrow><mo>)</mo></mrow></math>
✓ | ⠭⠰⠔⠼⠃⠐⠖⠼⠁⠚⠭⠐⠖⠼⠃⠑ | <math><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>25</mn></mrow></math> | <math><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>10</mn><mi>x</mi><mo>+</mo><mn>25</mn></mrow></math>
✓ | ⠛⠐⠣⠼⠃⠲⠉⠐⠜ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>g</mi><mo stretchy="false">(</mo><mn>2.3</mn><mo stretchy="false">)</mo></mstyle></math> | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mn>2.3</mn><mo stretchy="false">)</mo></mrow></math>
✓ | ⠼⠁⠊⠲⠃⠚⠌⠓⠀⠐⠶⠀⠼⠃⠲⠙⠚ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>19.20</mn><mn>8</mn></mfrac></mstyle><mo>=</mo><mn>2.40</mn></math> | <math><mrow><mfrac><mn>19.20</mn><mn>8</mn></mfrac><mo>=</mo><mn>2.40</mn></mrow></math>
✓ | ⠨⠃⠲ | <math><mrow><mi>β</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>β</mi><mtext>.</mtext></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠙⠔⠭⠲ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mn>4</mn><mi>x</mi></msup><mo>.</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><msup><mn>4</mn><mi>x</mi></msup><mo>.</mo></mrow></math>
✓ | ⠰⠍⠀⠐⠶⠀⠐⠤⠼⠁⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>m</mi><mo>=</mo><mo>−</mo><mn>1</mn><mtext>,</mtext></math> | <math><mrow><mi>m</mi><mo>=</mo><mo>−</mo><mn>1</mn><mtext>,</mtext></mrow></math>
✓ | ⠰⠗⠀⠐⠶⠀⠼⠚⠲⠊ | <math><mrow><mi>r</mi><mo>=</mo><mn>0.9</mn></mrow></math> | <math><mrow><mi>r</mi><mo>=</mo><mn>0.9</mn></mrow></math>
✓ | ⠠⠏⠐⠣⠠⠑⠐⠜⠀⠐⠶⠀⠰⠰⠷⠝⠐⠣⠠⠑⠐⠜⠨⠌⠝⠐⠣⠠⠎⠐⠜⠾ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math> | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>E</mi><mo stretchy="false">)</mo></mrow><mrow><mi>n</mi><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo></mrow></mfrac></mrow></math>
✓ | ⠼⠁⠓ | <math><mn>18</mn></math> | <math><mn>18</mn></math>
✓ | ⠰⠏ | <math><mi>p</mi></math> | <math><mi>p</mi></math>
✓ | ⠼⠚⠲⠑⠔⠭⠀⠐⠶⠀⠼⠚⠲⠃⠚ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><msup><mn>0.5</mn><mi>x</mi></msup><mo>=</mo><mn>0.20</mn></mstyle></math> | <math><mrow><msup><mn>0.5</mn><mi>x</mi></msup><mo>=</mo><mn>0.20</mn></mrow></math>
✓ | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math> | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math>
✓ | ⠼⠋⠋⠘⠚ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mn>66</mn><mrow data-mjx-texclass="ORD"><mo>∘</mo></mrow></msup></math> | <math><msup><mn>66</mn><mo>∘</mo></msup></math>
✓ | ⠰⠰⠰⠠⠏⠐⠣⠠⠁⠐⠜⠀⠐⠶⠀⠷⠠⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠞⠊⠍⠑⠎⠀⠑⠧⠑⠝⠞⠀⠠⠁⠀⠕⠉⠉⠥⠗⠎⠲⠨⠌⠠⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠞⠗⠊⠁⠇⠎⠾⠰⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mtext>Number of times event A occurs.</mtext><mtext>Total number of trials</mtext></mfrac></mrow></math> | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>A</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mtext>Number of times event A occurs.</mtext><mtext>Total number of trials</mtext></mfrac></mrow></math>
✓ | ⠰⠰⠨⠎⠢⠭⠔⠼⠃ | <math><msubsup><mi>σ</mi><mi>x</mi><mn>2</mn></msubsup></math> | <math><msubsup><mi>σ</mi><mi>x</mi><mn>2</mn></msubsup></math>
✓ | ⠼⠉⠲⠑⠌⠛ | <math><mfrac><mn>3.5</mn><mn>7</mn></mfrac></math> | <math><mfrac><mn>3.5</mn><mn>7</mn></mfrac></math>
✓ | ⠰⠠⠺ | <math><mi>W</mi></math> | <math><mi>W</mi></math>
✗ | ⠐⠣⠼⠙⠲⠑⠊⠂⠐⠷⠩⠼⠁⠋⠬⠨⠌⠼⠚⠲⠁⠚⠾⠐⠜ | <math><mrow><mo>(</mo><mrow><mtext>4</mtext><mtext>.59, </mtext><mfrac><msqrt><mn>16</mn></msqrt><mn>0.10</mn></mfrac></mrow><mo>)</mo></mrow></math> | <math><mrow><mo>(</mo><mrow><mn>4.59</mn><mo>,</mo><mfrac><msqrt><mn>16</mn></msqrt><mn>0.10</mn></mfrac></mrow><mo>)</mo></mrow></math>
✓ | ⠰⠰⠰⠭⠀⠳⠕⠀⠁⠔⠐⠤⠰⠄ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>−</mo></msup></mrow></math> | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><msup><mi>a</mi><mo>−</mo></msup></mrow></math>
✓ | ⠰⠅ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>k</mi></math> | <math><mi>k</mi></math>
✓ | ⠼⠁⠙⠙⠀⠐⠶⠀⠼⠃⠔⠼⠙⠐⠦⠼⠉⠔⠼⠃ | <math><mrow><mn>144</mn><mo>=</mo><msup><mn>2</mn><mn>4</mn></msup><mo>×</mo><msup><mn>3</mn><mn>2</mn></msup></mrow></math> | <math><mn>144</mn><mo>=</mo><msup><mn>2</mn><mn>4</mn></msup><mo>×</mo><msup><mn>3</mn><mn>2</mn></msup></math>
✓ | ⠠⠭⠰⠱ | <math><mover accent="true"><mi>X</mi><mo>¯</mo></mover></math> | <math><mover><mi>X</mi><mo>¯</mo></mover></math>
✓ | ⠺⠐⠣⠞⠐⠜⠀⠐⠶⠀⠗⠐⠣⠞⠐⠤⠼⠙⠐⠜⠐⠖⠼⠛ | <math><mrow><mi>w</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>r</mi><mo stretchy="false">(</mo><mi>t</mi><mo>−</mo><mn>4</mn><mo stretchy="false">)</mo><mo>+</mo><mn>7</mn></mrow></math> | <math><mrow><mi>w</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>r</mi><mo stretchy="false">(</mo><mi>t</mi><mo>−</mo><mn>4</mn><mo stretchy="false">)</mo><mo>+</mo><mn>7</mn></mrow></math>
✓ | ⠼⠃⠋⠘⠚⠲ | <math xmlns="http://www.w3.org/1998/Math/MathML"><msup><mn>26</mn><mrow data-mjx-texclass="ORD"><mo>∘</mo></mrow></msup><mtext>.</mtext></math> | <math><mrow><mn>26</mn><mo>°</mo><mo>.</mo></mrow></math>
✗ | ⠨⠍⠼⠃⠚⠃⠃⠀⠸⠈⠣⠀⠨⠍⠼⠃⠚⠃⠁ | <math><mrow><mi>μ</mi><mn>2022</mn><mo> </mo><mo>≤</mo><mo> </mo><mi>μ</mi><mn>2021</mn></mrow></math> | <math><mrow><msub><mi>μ</mi><mn>2022</mn></msub><mo>≤</mo><msub><mi>μ</mi><mn>2021</mn></msub></mrow></math>
✓ | ⠰⠷⠼⠉⠋⠔⠣⠼⠉⠰⠃⠜⠨⠌⠼⠉⠋⠔⠣⠼⠃⠰⠃⠜⠾⠀⠐⠶⠀⠼⠃⠁⠋⠔⠣⠼⠃⠐⠤⠃⠜ | <math><mrow><mfrac><msup><mn>36</mn><mrow><mn>3</mn><mi>b</mi></mrow></msup><msup><mn>36</mn><mrow><mn>2</mn><mi>b</mi></mrow></msup></mfrac><mo>=</mo><msup><mn>216</mn><mrow><mn>2</mn><mo>−</mo><mi>b</mi></mrow></msup></mrow></math> | <math><mrow><mfrac><msup><mn>36</mn><mrow><mn>3</mn><mi>b</mi></mrow></msup><msup><mn>36</mn><mrow><mn>2</mn><mi>b</mi></mrow></msup></mfrac><mo>=</mo><msup><mn>216</mn><mrow><mn>2</mn><mo>−</mo><mi>b</mi></mrow></msup></mrow></math>
✗ | ⠰⠰⠰⠣⠠⠭⠱⠜⠢⠼⠁⠀⠠⠤⠀⠣⠠⠭⠱⠜⠢⠼⠃⠰⠄ | <math><mrow><msub><mover accent="true"><mi>X</mi><mo>–</mo></mover><mn>1</mn></msub><mtext> – </mtext><msub><mover accent="true"><mi>X</mi><mo>–</mo></mover><mn>2</mn></msub></mrow></math> | <math><mrow><msub><mover accent="true"><mi>X</mi><mo stretchy="true">¯</mo></mover><mn>1</mn></msub><mo>–</mo><msub><mover accent="true"><mi>X</mi><mo stretchy="true">¯</mo></mover><mn>2</mn></msub></mrow></math>
✓ | ⠼⠙⠓⠚ | <math><mn>480</mn></math> | <math><mn>480</mn></math>
✓ | ⠼⠃⠀⠈⠣⠀⠰⠷⠼⠋⠨⠌⠭⠔⠼⠃⠐⠤⠼⠉⠭⠐⠖⠼⠉⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>2</mn><mo>&lt;</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>6</mn><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>3</mn></mrow></mfrac></mstyle></math> | <math><mrow><mn>2</mn><mo>&lt;</mo><mfrac><mn>6</mn><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>3</mn></mrow></mfrac></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠊⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>x</mi><mn>9</mn></msup><mo>.</mo></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><msup><mi>x</mi><mn>9</mn></msup><mo>.</mo></mrow></math>
✓ | ⠰⠰⠐⠤⠷⠃⠨⠌⠼⠃⠰⠁⠾⠲ | <math><mrow><mo>−</mo><mfrac><mi>b</mi><mrow><mn>2</mn><mi>a</mi></mrow></mfrac><mo>.</mo></mrow></math> | <math><mrow><mo>−</mo><mfrac><mi>b</mi><mrow><mn>2</mn><mi>a</mi></mrow></mfrac><mo>.</mo></mrow></math>
